,index,DateTime,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Outdoor Air Enthalpy [J/kg](Hourly),ZONE1 PHIUSMELS:Electric Equipment Electricity Energy [J](Hourly),ZONE1 FRIDGE:Electric Equipment Electricity Energy [J](Hourly),ZONE1 RANGE:Electric Equipment Electricity Energy [J](Hourly),ZONE1 CLOTHESDRYER:Electric Equipment Electricity Energy [J](Hourly),ZONE1 CLOTHESWASHER:Electric Equipment Electricity Energy [J](Hourly),ZONE1 DISHWASHER:Electric Equipment Electricity Energy [J](Hourly),ZONE1 SIZINGSENSIBLE:Electric Equipment Electricity Energy [J](Hourly),ZONE1 SIZINGLATENT:Electric Equipment Electricity Energy [J](Hourly),ZONE1:Zone Mean Radiant Temperature [C](Hourly),ZONE1:Zone Operative Temperature [C](Hourly),ZONE1:Zone Mean Air Dewpoint Temperature [C](Hourly),ZONE1:Zone Ventilation Mass Flow Rate [kg/s](Hourly),ZONE1:Zone Air Temperature [C](Hourly),ZONE1:Zone Air Relative Humidity [%](Hourly),ZONE1:Zone Air CO2 Concentration [ppm](Hourly),Whole Building:Facility Total Purchased Electricity Energy [J](Hourly),Whole Building:Facility Total Surplus Electricity Energy [J](Hourly),ZONE1 OCCUPANTS:Zone Thermal Comfort Pierce Model Standard Effective Temperature [C](Hourly),ZONE1:Zone Heat Index [C](Hourly),BARANGESCHEDULE:Schedule Value [](Hourly),PHIUS_LIGHTING:Schedule Value [](Hourly),PHIUS_MELS:Schedule Value [](Hourly),COMBINEDDHWSCHEDULE:Schedule Value [](Hourly),BACLOTHESDRYERSCHEDULE:Schedule Value [](Hourly),BACLOTHESWASHERSCHEDULE:Schedule Value [](Hourly),BADISHWASHERSCHEDULE:Schedule Value [](Hourly),EXHAUSTFANSCHEDULE:Schedule Value [](Hourly),OCCUPANT_ACTIVITY_SCHEDULE:Schedule Value [](Hourly),OCCUPANT_EFF_SCHEDULE:Schedule Value [](Hourly),OCCUPANT_CLOTHING_SCHEDULE:Schedule Value [](Hourly),CO2_SCHEDULE:Schedule Value [](Hourly),OCCUPANTSCHEDULE:Schedule Value [](Hourly),MECHAVAILABLE:Schedule Value [](Hourly),DCINTERLOCK:Schedule Value [](Hourly),OUTAGECOOLING:Schedule Value [](Hourly),DEMAND CONTROL COOLING:Schedule Value [](Hourly),SHADINGAVAILABLE:Schedule Value [](Hourly),SIZINGLOADS:Schedule Value [](Hourly),WEATHER MORPH:Schedule Value [](Hourly),HVAC_ALWAYS_4:Schedule Value [](Hourly),PHIUS_68F:Schedule Value [](Hourly),DHW_122F:Schedule Value [](Hourly),PHIUS_77F:Schedule Value [](Hourly),HUMIDITY_SETPOINT:Schedule Value [](Hourly),AIRVELOCITYSCH:Schedule Value [](Hourly),ALWAYS_ON:Schedule Value [](Hourly),ALWAYS OFF:Schedule Value [](Hourly),ERVAVAILABLE:Schedule Value [](Hourly),ZONE1_WINDOWFRACTIONCONTROL:Schedule Value [](Hourly),ZONE1_TB SCHEDULE:Schedule Value [](Hourly),ZONE1_VANOS:Schedule Value [](Hourly),ZONE1_VANOSLIMIT:Schedule Value [](Hourly),COUNT:Schedule Value [](Hourly),ZONE1_PTHP:Zone Packaged Terminal Heat Pump Total Cooling Rate [W](Hourly),PHIUSEXTLIGHT:Exterior Lights Electricity Energy [J](Hourly),ZONE1_ERV_SUPPLY:System Node Enthalpy [J/kg](Hourly),ZONE1_MECH_AIR_OUTLET:System Node Enthalpy [J/kg](Hourly),ZONE1_RETURN:System Node Enthalpy [J/kg](Hourly),ZONE1_ERV_EXHAUST:System Node Enthalpy [J/kg](Hourly),ZONE1_MECH_AIR_INLET:System Node Enthalpy [J/kg](Hourly),ZONE1_ZONE_AIR_NODE:System Node Enthalpy [J/kg](Hourly),ZONE1_OA_1:System Node Enthalpy [J/kg](Hourly),ZONE1_OA_2:System Node Enthalpy [J/kg](Hourly),ZONE1_PTHP_FAN_OUTLET:System Node Enthalpy [J/kg](Hourly),ZONE1_PTHP_DX_COOL_COIL_OUTLET:System Node Enthalpy [J/kg](Hourly),ZONE1_PTHP_DX_HEAT_COIL_OUTLET:System Node Enthalpy [J/kg](Hourly) ,Date2,Time,Date
5338,5530,1900-08-11 10:00:00,33.875,13.0,28.5,60480.48017942109,0.0,147945.20547945204,0.0,0.0,0.0,0.0,0.0,0.0,27.23853974825946,27.393192004345934,17.59041501434414,0.0,27.54784426043242,54.61239303591033,1216.675539608881,181857.81583701025,0.0,25.847545639524412,28.329376041832408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.3,500.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,5.709663579062871,0.0,147400505.5824064,0.0,0.0,0.0,29442.989459818964,62792.35882889976,62792.35882889976,62792.35882889976,62792.35882889976,63049.58314911759,62792.35882889976,60470.17658618959,62792.35882889976,62792.35882889976,62792.35882889976,08/11,10:00:00,08/11
5339,5531,1900-08-11 11:00:00,35.625,13.0,25.75,62169.07305243262,0.0,147945.20547945204,0.0,0.0,0.0,0.0,0.0,0.0,27.66633262520454,27.86056883970341,17.608613314944996,0.0,28.054805054202287,53.081853557915814,1201.4759498826832,181582.13095319533,0.0,26.317368696468172,28.801367332050148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.3,500.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,7.434009611269167,0.0,130786231.77537836,0.0,0.0,0.0,29442.989459818964,63531.14171820877,63531.14171820877,63531.14171820877,63531.14171820877,63613.49260321292,63531.14171820877,62158.77021164035,63531.14171820877,63531.14171820877,63531.14171820877,08/11,11:00:00,08/11
5340,5532,1900-08-11 12:00:00,36.625,13.0,24.375,63196.59814213606,0.0,147945.20547945204,0.0,0.0,0.0,0.0,0.0,0.0,28.06924319388988,28.262543493718244,17.55552707014329,0.0,28.45584379354661,51.68348698811848,1175.5756475778358,181636.39810475716,0.0,26.709379807011977,29.15675908840573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.3,500.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,8.013866366304498,0.0,116374848.0871281,0.0,0.0,0.0,29442.989459818964,63810.766639679096,63810.766639679096,63810.766639679096,63810.766639679096,63905.635714106334,63810.766639679096,63186.29527561539,63810.766639679096,63810.766639679096,63810.766639679096,08/11,12:00:00,08/11
5341,5533,1900-08-11 13:00:00,37.625,13.0,23.375,64578.17852351424,0.0,147945.20547945204,0.0,0.0,0.0,0.0,0.0,0.0,28.46681040977533,28.65804710177113,17.64907551241083,0.0,28.84928379376693,50.81630779782466,1171.639688401782,181774.4428413119,0.0,27.114482028828856,29.56222300770093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.3,500.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,8.62506447584546,0.0,102093419.85207498,0.0,0.0,0.0,29442.989459818964,64358.87664492196,64358.87664492196,64358.87664492196,64358.87664492196,64549.683356139474,64358.87664492196,64567.87305492428,64358.87664492196,64358.87664492196,64358.87664492196,08/11,13:00:00,08/11
5342,5534,1900-08-11 14:00:00,38.0,13.0,23.0,65107.16190110488,0.0,147945.20547945204,0.0,0.0,0.0,0.0,0.0,0.0,28.85045457523593,29.025277951574743,17.86692619676407,0.0,29.20010132791356,50.48382106387944,1185.8967785072157,181931.29565020688,0.0,27.51391290534653,29.98662275864552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.3,500.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,8.880668963138065,0.0,87701999.95009422,0.0,0.0,0.0,29442.989459818964,65200.17180005823,65200.17180005823,65200.17180005823,65200.17180005823,65454.66022950685,65200.17180005823,65096.85537835692,65200.17180005823,65200.17180005823,65200.17180005823,08/11,14:00:00,08/11
5343,5535,1900-08-11 15:00:00,38.0,13.0,23.0,65118.30616940648,0.0,147945.20547945204,0.0,0.0,0.0,0.0,0.0,0.0,29.22047160397898,29.39465905812295,18.17658316121664,0.0,29.568846512266926,50.39380349858892,1213.9445167465587,182177.9970859362,0.0,27.92609833497381,30.484824501428317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.3,500.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,8.531047868814781,0.0,73282892.27362221,0.0,0.0,0.0,29442.989459818964,66308.926085082,66308.926085082,66308.926085082,66308.926085082,66576.98264387264,66308.926085082,65107.99956559915,66308.926085082,66308.926085082,66308.926085082,08/11,15:00:00,08/11
5344,5536,1900-08-11 16:00:00,37.375,12.375,22.375,62873.52695686663,0.0,147945.20547945204,0.0,0.0,0.0,0.0,0.0,0.0,29.567643856999776,29.751559783970677,18.17178069954616,0.0,29.93547571094156,49.32991755742636,1202.3907689824457,327896.1171922125,0.0,28.26014217510997,30.8510607882311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.3,500.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,7.760678596033519,0.0,56078323.45736188,0.0,92.71613001296474,0.0,29442.989459818964,60312.21382549215,67044.45362997052,67044.45362997052,67044.45362997052,66969.81387667533,67044.45362997052,62863.23203054159,69146.72898459723,60312.21382549215,60312.21382549215,08/11,16:00:00,08/11
5345,5537,1900-08-11 17:00:00,37.0,10.75,20.75,60146.987998376106,0.0,147945.20547945204,0.0,0.0,0.0,0.0,0.0,0.0,29.832675618601396,29.916099441749203,17.53106211251678,0.0,29.99952326489701,47.2054435586195,1154.9537308660024,733166.8182020417,0.0,28.30639917882372,30.62649232487746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.3,500.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,7.000453782932291,0.0,50001412.18356645,0.0,430.6051379689508,0.0,29442.989459818964,49796.79506426092,65969.29074120948,65969.29074120948,65969.29074120948,65560.7991249487,65969.29074120948,60136.71012444098,66754.7053123067,49796.79506426092,49796.79506426092,08/11,17:00:00,08/11
5346,5538,1900-08-11 18:00:00,35.75,10.625,21.875,58506.72668957957,0.0,147945.20547945204,0.0,0.0,0.0,0.0,0.0,0.0,29.87542597494496,29.9375237772516,17.04552716285171,0.0,29.999621579558237,45.77485681769676,1147.575087464633,638762.9185078124,0.0,28.24139377262184,30.42249982856576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,120.0,0.0,0.3,500.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,6.250425144661082,0.0,50000105.01411307,0.0,341.1753336078382,0.0,29442.989459818964,48676.06358484252,64666.422289812166,64666.422289812166,64666.422289812166,64488.31663917583,64719.78273797585,58496.45146296501,65678.00623135992,48676.06358484252,48676.06358484252,08/11,18:00:00,08/11
5347,5539,1900-08-11 19:00:00,33.75,11.0,24.875,56885.5001331664,0.0,147945.20547945204,0.0,0.0,0.0,0.0,0.0,0.0,29.81802281553499,29.90616002023437,17.091503927641963,0.0,29.99429722493376,45.923480761615494,1175.5048419682857,337959.0213769156,0.0,28.217521594236928,30.43626099595153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.3,500.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,4.250164926822973,0.0,49988227.3436988,0.0,79.0817918930246,3600.0,29442.989459818964,54593.82480610725,64417.1790375225,64417.1790375225,64417.1790375225,64600.29615040439,64417.1790375225,56875.22183412624,67993.77171343981,54593.82480610725,54593.82480610725,08/11,19:00:00,08/11
5348,5540,1900-08-11 20:00:00,32.375,11.0,27.25,55819.99793369284,0.0,147945.20547945204,0.0,0.0,0.0,0.0,0.0,0.0,29.70385410312143,29.800824759602055,17.67172639545216,0.0,29.897795416082687,47.905213720035405,1250.781578339465,187545.20547945204,0.0,28.22772642949478,30.58676376835449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.3,500.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,2.6931004607620883,0.0,53070331.81101829,0.0,0.0,3600.0,29442.989459818964,65530.01551871847,65530.01551871847,65530.01551871847,65530.01551871847,65817.49725642405,65530.01551871847,55809.71715841608,65530.01551871847,65530.01551871847,65530.01551871847,08/11,20:00:00,08/11
5349,5541,1900-08-11 21:00:00,31.375,12.25,31.125,56664.11894996376,0.0,147945.20547945204,0.0,0.0,0.0,0.0,0.0,0.0,29.55960710600241,29.64841279336194,18.0976164455328,0.0,29.737218480721467,49.66306754738188,1300.9765015321182,187545.20547945204,0.0,28.17136305772877,30.617055201352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.3,500.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,1.844197830903536,0.0,59825866.009017706,0.0,0.0,3600.0,29442.989459818964,66451.76195846955,66451.76195846955,66451.76195846955,66451.76195846955,66646.19418390036,66451.76195846955,56653.824536822765,66451.76195846955,66451.76195846955,66451.76195846955,08/11,21:00:00,08/11
5350,5542,1900-08-11 22:00:00,31.0,13.0,33.0,57263.29056538068,0.0,147945.20547945204,0.0,0.0,0.0,0.0,0.0,0.0,29.41193244646987,29.497612096515887,18.475784295613963,0.0,29.583291746561915,51.30720511240109,1335.4170441197778,187545.20547945204,0.0,28.107210982862803,30.63690158440148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.3,500.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,1.3841314728412997,0.0,67040358.39319199,0.0,0.0,3600.0,29442.989459818964,67235.53818505071,67235.53818505071,67235.53818505071,67235.53818505071,67390.89214660655,67235.53818505071,57252.98896820644,67235.53818505071,67235.53818505071,67235.53818505071,08/11,22:00:00,08/11
