,Unnamed: 0,Run Name,SET ≤ 12.2°C Hours (F),Hours < 2°C [hr],Hours Above Vanos Threshold [hr],Total Deadly Days,Min outdoor DB [°C],Min outdoor DP [°C],Max outdoor DB [°C],Max outdoor DP [°C],"Caution (> 26.7, ≤ 32.2°C) [hr]","Extreme Caution (> 32.2, ≤ 39.4°C) [hr]","Danger (> 39.4, ≤ 51.7°C) [hr]",Extreme Danger (> 51.7°C) [hr],EUI,Peak Electric Demand [W],Heating Battery Size [kWh],Cooling Battery Size [kWh],First Year Electric Cost [$],First Year Gas Cost [$],First Cost [$],Wall Cost [$],Roof Cost [$],Floor Cost [$],Window Cost [$],Door Cost [$],Air Sealing Cost [$],Mechanical Cost [$],Water Heater Cost [$],Appliances Cost [$],PV Cost [$],Battery Cost [$],Total ADORB Cost [$],pv_dirEn_tot,pv_dirMR_tot,pv_opCO2_tot,pv_emCO2_tot,pv_eTrans_tot
10,0,2B_IECC_TMY_DCint_1000_2925,0.0,0.0,0.25,0,-1.0625,-20.375,39.0,18.0,151.5,0.0,0.0,0.0,14.52,3354.74,8.655433791041657,40.1342462562905,1276.3895310313694,0,135379.39,61259.55,1452.0,557.42,32583.61,500.02,1255.64,12000.0,1500.0,5500.0,6.0,16053.7,425545.0639100976,47862.84509487796,332832.0355605153,5415.433129656513,32390.91087862501,7043.839246422796
11,0,2B_IECC_TMY_DCint_1000_295,0.0,0.0,0.5,0,-1.0625,-20.375,39.0,18.0,148.0,0.25,0.0,0.0,14.52,3354.74,8.655433791041657,42.15667908935932,1276.3895310313694,0,136188.37,61259.55,1452.0,557.42,32583.61,500.02,1255.64,12000.0,1500.0,5500.0,6.0,16862.67,427298.1108814186,47862.84509487796,334418.2610507113,5415.433129656513,32557.732359750004,7043.839246422796
12,0,2B_IECC_TMY_DCint_1000_2975,0.0,0.0,0.5,0,-1.0625,-20.375,39.0,18.0,143.0,0.25,0.0,0.0,14.52,3354.74,8.655433791041657,44.56191970869312,1276.3895310313694,0,137150.46,61259.55,1452.0,557.42,32583.61,500.02,1255.64,12000.0,1500.0,5500.0,6.0,17824.77,429382.9669569824,47862.84509487796,336304.7218350251,5415.433129656513,32756.127651000003,7043.839246422796
13,0,2B_IECC_TMY_DCint_1000_30,0.0,0.0,3.5,0,-1.0625,-20.375,39.0,18.0,139.75,1.5,0.0,0.0,14.52,3354.74,8.655433791041657,62.18861244765512,1276.3895310313694,0,144201.14,61259.55,1452.0,557.42,32583.61,500.02,1255.64,12000.0,1500.0,5500.0,6.0,24875.44,444661.7579405338,47862.84509487796,350129.5747762015,5415.433129656513,34210.065693375,7043.839246422796
14,0,2B_IECC_TMY_DCint_2000_27,0.0,0.0,0.0,0,-1.0625,-20.375,39.0,18.0,154.0,6.0,0.0,0.0,14.52,3354.74,8.655433791041657,38.22574329324059,1276.3895310313694,0,134615.99,61259.55,1452.0,557.42,32583.61,500.02,1255.64,12000.0,1500.0,5500.0,6.0,15290.3,423890.7785424995,47862.84509487796,331335.17281541723,5415.433129656513,32233.488256125005,7043.839246422796
15,0,2B_IECC_TMY_DCint_2000_2725,0.0,0.0,0.0,0,-1.0625,-20.375,39.0,18.0,154.0,6.0,0.0,0.0,14.52,3354.74,8.655433791041657,38.22574329324059,1276.3895310313694,0,134615.99,61259.55,1452.0,557.42,32583.61,500.02,1255.64,12000.0,1500.0,5500.0,6.0,15290.3,423890.7785424995,47862.84509487796,331335.17281541723,5415.433129656513,32233.488256125005,7043.839246422796
16,0,2B_IECC_TMY_DCint_2000_275,0.0,0.0,0.0,0,-1.0625,-20.375,39.0,18.0,154.0,6.0,0.0,0.0,14.52,3354.74,8.655433791041657,38.22574329324059,1276.3895310313694,0,134615.99,61259.55,1452.0,557.42,32583.61,500.02,1255.64,12000.0,1500.0,5500.0,6.0,15290.3,423890.7785424995,47862.84509487796,331335.17281541723,5415.433129656513,32233.488256125005,7043.839246422796
17,0,2B_IECC_TMY_DCint_2000_2775,0.0,0.0,0.0,0,-1.0625,-20.375,39.0,18.0,154.0,6.0,0.0,0.0,14.52,3354.74,8.655433791041657,38.22574329324059,1276.3895310313694,0,134615.99,61259.55,1452.0,557.42,32583.61,500.02,1255.64,12000.0,1500.0,5500.0,6.0,15290.3,423890.7785424995,47862.84509487796,331335.17281541723,5415.433129656513,32233.488256125005,7043.839246422796
18,0,2B_IECC_TMY_DCint_2000_28,0.0,0.0,0.0,0,-1.0625,-20.375,39.0,18.0,154.0,6.0,0.0,0.0,14.52,3354.74,8.655433791041657,38.22574329324059,1276.3895310313694,0,134615.99,61259.55,1452.0,557.42,32583.61,500.02,1255.64,12000.0,1500.0,5500.0,6.0,15290.3,423890.7785424995,47862.84509487796,331335.17281541723,5415.433129656513,32233.488256125005,7043.839246422796
19,0,2B_IECC_TMY_DCint_2000_2825,0.0,0.0,0.0,0,-1.0625,-20.375,39.0,18.0,154.0,6.0,0.0,0.0,14.52,3354.74,8.655433791041657,38.22574329324059,1276.3895310313694,0,134615.99,61259.55,1452.0,557.42,32583.61,500.02,1255.64,12000.0,1500.0,5500.0,6.0,15290.3,423890.7785424995,47862.84509487796,331335.17281541723,5415.433129656513,32233.488256125005,7043.839246422796
