,AZNMc,CAMXc,ERCTc,FRCCc,MROEc,MROWc,NEWEc,NWPPc,NYSTc,RFCEc,RFCMc,RFCWc,RMPAc,SPNOc,SPSOc,SRMVc,SRMWc,SRSOc,SRTVc,SRVCc
0,389.93575,364.96528,192.21668999999997,530.91666,544.26851,385.18674000000004,352.68779,371.77527,320.63378,509.75546999999995,435.15644,502.11031,427.86851,405.83887,323.2687,455.95684,563.4571000000001,578.56749,570.71307,593.15929
1,400.52054,371.56458000000003,188.5509,538.17233,537.06764,380.67948,350.90808000000004,375.44287999999995,316.79985999999997,503.08299,436.05569,499.20892,438.0207700000001,401.05363,320.04984,453.39187,565.58631,580.18114,570.07367,597.44362
2,404.12118,371.96912999999995,191.16471,541.07397,543.7782,374.01776,348.1105799999999,376.55885,315.33050000000003,494.91449,434.38517,497.40835,438.02027,400.70413,322.04122,452.17408,564.77307,579.16674,570.4183700000001,600.38334
3,405.55089,363.45162999999997,188.66282,530.6862,538.56664,373.18755000000004,347.64916000000005,373.37053999999995,316.98859999999996,498.51264999999995,433.15288999999996,498.56447000000003,431.57577000000003,389.62116000000003,320.476,457.2051799999999,564.40726,574.8964,570.44908,598.76166
4,396.30293,346.52880000000005,183.47808,498.20691999999997,541.1024699999999,378.97567999999995,351.75136999999995,368.46014,312.79053,493.38320999999996,430.28337,499.10296000000005,429.58489,405.31593999999996,333.10490000000004,458.87272,563.1183599999999,553.7471800000001,555.52375,592.61327
5,382.09340999999995,314.52327,189.38889,420.75233,547.0319099999999,364.09323,354.07139,366.00709,315.19408,502.22687,422.3426,502.08026,419.96698,397.34718999999996,331.00912999999997,467.55521,527.9854399999999,554.52823,525.54097,589.50965
6,366.68282000000005,289.92068,201.95479999999998,361.32835,549.29904,373.67165,355.12312000000003,351.78035,317.57031,514.87706,414.95116999999993,505.96791,401.55424999999997,396.7885,354.65842000000004,444.34168,497.78221,520.2204899999999,511.53459000000004,540.61473
7,351.9488,153.56443000000002,190.24236999999997,207.76198999999997,354.52521,315.84383,340.24788,269.11195000000004,303.77403,490.70973000000004,414.41748000000007,503.17819000000003,381.9316,359.36454,335.0087,305.54421,270.58679,460.68548,295.39814,377.53403000000003
8,231.69254,98.87228,135.01528,93.74698000000001,168.74869999999999,135.98582000000002,307.10188,216.48593,250.24039000000002,358.12869,390.2201,382.38085,288.31309999999996,231.52006000000003,243.31220000000002,252.91512,168.92925,163.90727000000004,244.8673,129.18668
9,197.57576999999998,87.72491000000001,127.91466,84.26947000000001,134.27754,106.55006,298.87585,210.35219,224.09724,304.26864,360.36398,293.59574999999995,266.9816,191.77598999999998,237.86215000000004,261.12484,161.26075,137.68548,236.30783,102.95983999999999
10,193.87669999999997,89.77224999999999,129.06159,83.73694,127.28627,109.51751,297.79382,210.74597999999997,221.43574999999998,301.66816,355.51640999999995,283.78132000000005,262.71929,211.04094999999998,251.7552,250.47101000000004,148.76322000000002,128.78106,232.50073,98.65258
11,195.10186,88.48425999999999,129.24669,86.13469,115.61374,105.05222,298.18761,214.67732999999998,222.32010000000002,303.67535000000004,355.48958999999996,281.24226,265.24345,205.83328,263.17227,247.92235000000002,144.93617,124.93547000000001,232.96058000000002,97.21873000000001
12,197.21475999999998,84.52079,126.7299,88.43087,115.70960000000001,105.68475,299.35424,211.49224999999998,218.47956,305.94876,354.59720999999996,283.02495,263.35621,192.94312,245.72601000000003,245.49844,146.85577999999998,126.35922,226.04754000000003,97.46575
