Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),WHOLEHOUSE PHIUSMELS:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE FRIDGE:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE RANGE:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE CLOTHESDRYER:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE CLOTHESWASHER:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE DISHWASHER:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE SIZINGSENSIBLE:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE SIZINGLATENT:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE:Zone Mean Air Dewpoint Temperature [C](Hourly),WHOLEHOUSE:Zone Ventilation Mass Flow Rate [kg/s](Hourly),WHOLEHOUSE:Zone Air Temperature [C](Hourly),WHOLEHOUSE:Zone Air Relative Humidity [%](Hourly),WHOLEHOUSE:Zone Air CO2 Concentration [ppm](Hourly),Whole Building:Facility Total Purchased Electricity Energy [J](Hourly),Whole Building:Facility Total Surplus Electricity Energy [J](Hourly),WHOLEHOUSE OCCUPANTS:Zone Thermal Comfort Pierce Model Standard Effective Temperature [C](Hourly),WHOLEHOUSE:Zone Heat Index [C](Hourly),BARANGESCHEDULE:Schedule Value [](Hourly),PHIUS_LIGHTING:Schedule Value [](Hourly),PHIUS_MELS:Schedule Value [](Hourly),COMBINEDDHWSCHEDULE:Schedule Value [](Hourly),BACLOTHESDRYERSCHEDULE:Schedule Value [](Hourly),BACLOTHESWASHERSCHEDULE:Schedule Value [](Hourly),BADISHWASHERSCHEDULE:Schedule Value [](Hourly),OCCUPANT_ACTIVITY_SCHEDULE:Schedule Value [](Hourly),OCCUPANT_EFF_SCHEDULE:Schedule Value [](Hourly),OCCUPANT_CLOTHING_SCHEDULE:Schedule Value [](Hourly),CO2_SCHEDULE:Schedule Value [](Hourly),OCCUPANTSCHEDULE:Schedule Value [](Hourly),MECHAVAILABLE:Schedule Value [](Hourly),NATVENT:Schedule Value [](Hourly),SCHNATVENT:Schedule Value [](Hourly),OUTAGECOOLING:Schedule Value [](Hourly),DEMAND CONTROL COOLING:Schedule Value [](Hourly),SHADINGAVAILABLE:Schedule Value [](Hourly),SIZINGLOADS:Schedule Value [](Hourly),WEATHER MORPH:Schedule Value [](Hourly),HVAC_ALWAYS_4:Schedule Value [](Hourly),PHIUS_68F:Schedule Value [](Hourly),DHW_122F:Schedule Value [](Hourly),PHIUS_77F:Schedule Value [](Hourly),HUMIDITY_SETPOINT:Schedule Value [](Hourly),AIRVELOCITYSCH:Schedule Value [](Hourly),ALWAYS_ON:Schedule Value [](Hourly),ALWAYS OFF:Schedule Value [](Hourly),ERVAVAILABLE:Schedule Value [](Hourly),WHOLEHOUSE_WINDOWFRACTIONCONTROL:Schedule Value [](Hourly),WHOLEHOUSE_TB SCHEDULE:Schedule Value [](Hourly),COUNT:Schedule Value [](Hourly),PHIUSEXTLIGHT:Exterior Lights Electricity Energy [J](Hourly) 
 04/27  10:00:00,-1.3249999999999998,-5.0,73.5,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,4.471732727015963,0.0,19.915957009714505,36.14056055087278,1340.0906793888628,10361990.580847275,0.0,22.490034224764665,18.90677845840319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,-21.39068086801851,0.0,0.0 
 04/27  11:00:00,-2.1624999999999998,-5.375,76.375,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,4.211520791693041,0.0,19.91194849260343,35.49627750987202,1330.0447994575803,9954929.545228087,0.0,22.528969784668825,18.88554614351043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,-21.651309344788765,0.0,0.0 
 04/27  12:00:00,-1.7374999999999999,-6.975,65.25,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,3.8904048909059409,0.0,19.91189579167013,34.70436806657341,1317.3514715361239,9213343.081318565,0.0,22.565917846941198,18.86481053701989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,-22.07312249280471,0.0,0.0 
 04/27  13:00:00,-1.0375,-7.925,55.75,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,3.5775384339144575,0.0,19.91443400841311,33.942200011396909,1311.287157021524,8829552.261898205,0.0,22.570080219734004,18.847701520663123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,-20.97681819361536,0.0,0.0 
 04/27  14:00:00,-1.0625,-7.875000000000001,56.25,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,3.294587141722205,0.0,19.914286789800668,33.27084173459292,1307.8919148661767,8833341.522902463,0.0,22.564146497402754,18.83000966962844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,-20.951891412053,0.0,0.0 
 04/27  15:00:00,-0.7875000000000001,-7.1125,58.875,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,3.052884758697599,0.0,19.91517425461916,32.704401301268308,1304.8913295634416,8661387.072592419,0.0,22.560434185072578,18.816195491836419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,-20.82723004758464,0.0,0.0 
 04/27  16:00:00,-0.9125000000000001,-7.0125,60.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,2.8799509200562918,0.0,19.914991043407477,32.30623986379397,1305.5947047806486,8844244.528472836,0.0,22.54588131890446,18.805597521969515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,-20.702893687280093,0.0,0.0 
 04/27  17:00:00,-0.7875000000000001,-8.262500000000001,53.125,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,2.6750390621805177,0.0,19.914725588517685,31.840088024653249,1304.4022684272473,7960315.153563042,0.0,22.60262340681702,18.79313377912429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,-20.827084736133764,0.0,0.0 
 04/27  18:00:00,-0.9125000000000001,-8.2125,54.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,2.482324061507372,0.0,19.912798608598018,31.410308465186348,1306.3181892555909,7310968.991777664,0.0,22.64641533473373,18.779792079382135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,-20.7011087211517,0.0,0.0 
 04/27  19:00:00,-1.4749999999999999,-7.1125,62.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,2.3226353240393866,0.0,19.91046200172677,31.059495484811636,1306.1140793480673,8123352.879952274,0.0,22.588979699385797,18.768061695113976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,-21.235827511798989,0.0,0.0 
