Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),WHOLEHOUSE PHIUSMELS:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE FRIDGE:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE RANGE:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE CLOTHESDRYER:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE CLOTHESWASHER:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE DISHWASHER:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE SIZINGSENSIBLE:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE SIZINGLATENT:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE:Zone Mean Air Dewpoint Temperature [C](Hourly),WHOLEHOUSE:Zone Ventilation Mass Flow Rate [kg/s](Hourly),WHOLEHOUSE:Zone Air Temperature [C](Hourly),WHOLEHOUSE:Zone Air Relative Humidity [%](Hourly),WHOLEHOUSE:Zone Air CO2 Concentration [ppm](Hourly),Whole Building:Facility Total Purchased Electricity Energy [J](Hourly),Whole Building:Facility Total Surplus Electricity Energy [J](Hourly),WHOLEHOUSE OCCUPANTS:Zone Thermal Comfort Pierce Model Standard Effective Temperature [C](Hourly),WHOLEHOUSE:Zone Heat Index [C](Hourly),BARANGESCHEDULE:Schedule Value [](Hourly),PHIUS_LIGHTING:Schedule Value [](Hourly),PHIUS_MELS:Schedule Value [](Hourly),COMBINEDDHWSCHEDULE:Schedule Value [](Hourly),BACLOTHESDRYERSCHEDULE:Schedule Value [](Hourly),BACLOTHESWASHERSCHEDULE:Schedule Value [](Hourly),BADISHWASHERSCHEDULE:Schedule Value [](Hourly),OCCUPANT_ACTIVITY_SCHEDULE:Schedule Value [](Hourly),OCCUPANT_EFF_SCHEDULE:Schedule Value [](Hourly),OCCUPANT_CLOTHING_SCHEDULE:Schedule Value [](Hourly),CO2_SCHEDULE:Schedule Value [](Hourly),OCCUPANTSCHEDULE:Schedule Value [](Hourly),MECHAVAILABLE:Schedule Value [](Hourly),NATVENT:Schedule Value [](Hourly),SCHNATVENT:Schedule Value [](Hourly),OUTAGECOOLING:Schedule Value [](Hourly),DEMAND CONTROL COOLING:Schedule Value [](Hourly),SHADINGAVAILABLE:Schedule Value [](Hourly),SIZINGLOADS:Schedule Value [](Hourly),WEATHER MORPH:Schedule Value [](Hourly),HVAC_ALWAYS_4:Schedule Value [](Hourly),PHIUS_68F:Schedule Value [](Hourly),DHW_122F:Schedule Value [](Hourly),PHIUS_77F:Schedule Value [](Hourly),HUMIDITY_SETPOINT:Schedule Value [](Hourly),AIRVELOCITYSCH:Schedule Value [](Hourly),ALWAYS_ON:Schedule Value [](Hourly),ALWAYS OFF:Schedule Value [](Hourly),ERVAVAILABLE:Schedule Value [](Hourly),WHOLEHOUSE_WINDOWFRACTIONCONTROL:Schedule Value [](Hourly),COUNT:Schedule Value [](Hourly),PHIUSEXTLIGHT:Exterior Lights Electricity Energy [J](Hourly) 
 01/29  11:00:00,-25.7875,-30.225,66.0,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,-20.717293752380664,0.0,-3.3972851413325957,20.935838811512537,2581.9565979551496,1387387.7301448193,0.0,3.39695649367922,-7.1348000864985849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,0.0 
 01/29  12:00:00,-24.5375,-29.3125,64.125,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,-20.66644785705327,0.0,-2.704847729687043,19.846826731566595,2583.608584843937,1386988.184757426,0.0,3.978259512259021,-6.401554249109287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,0.0 
 01/29  13:00:00,-22.8375,-28.2125,61.75,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,-20.71756638969175,0.0,-2.158297412579196,18.86442560501141,2584.3514113903349,1386758.6334838789,0.0,4.4284336945006219,-5.826000485261817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,0.0 
 01/29  14:00:00,-21.512499999999997,-27.8,57.25,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,-20.82720791523236,0.0,-1.634848604006281,17.867999319691167,2583.3919575336265,1386831.2981368593,0.0,4.8566766667328109,-5.27622459328164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,0.0 
 01/29  15:00:00,-20.7875,-27.425,55.0,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,-20.996025661847903,0.0,-1.0528680400142925,16.74904405965953,2581.9920022679709,1387132.9283692693,0.0,5.350332389296673,-4.6652631380135018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,0.0 
 01/29  16:00:00,-20.225,-27.2,53.75,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,-21.204002329836866,0.0,-0.5279883187813782,15.715894246918149,2580.4520241140055,1388524.6672136363,0.0,5.8002818408385139,-4.114872134212209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,0.0 
 01/29  17:00:00,-20.375,-26.8875,56.125,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,-21.414530216974336,0.0,-0.2206245794116259,15.010884456851177,2579.3701407132696,1388937.9389582908,0.0,6.0642603445661209,-3.795180609868341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,0.0 
 01/29  18:00:00,-21.599999999999999,-27.7,58.0,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,-21.613941545314405,0.0,-0.6104625490556304,15.204778322374349,2579.7204119675109,1393760.3269150684,0.0,5.764690334800854,-4.21893959221031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,3600.0 
 01/29  19:00:00,-24.325000000000004,-29.3625,63.0,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,-21.832017785405126,0.0,-1.1387202303807878,15.551683311670053,2580.6554971175539,1393760.3269150684,0.0,5.32327612054204,-4.790964966947483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,3600.0 
 01/29  20:00:00,-25.9125,-31.062500000000005,62.25,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,-22.04125679782817,0.0,-1.6951955356705729,15.960137330407117,2581.0851531441328,1393760.3269150684,0.0,4.856227024398866,-5.392422614499223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,3600.0 
 01/29  21:00:00,-26.1,-32.0125,57.5,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,-22.201678643699475,0.0,-2.2066273084468168,16.39796902083752,2579.83812180121,1393760.3269150684,0.0,4.429339569166793,-5.943565292636296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,3600.0 
 01/29  22:00:00,-26.7875,-32.2,59.75,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,-22.287031147112175,0.0,-2.667598513039551,16.903004845925314,2579.120769212822,1393760.3269150684,0.0,4.044162998485297,-6.437446571144346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,3600.0 
 01/29  23:00:00,-26.512500000000004,-31.887500000000004,60.75,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,-22.28640175916302,0.0,-3.072559707881225,17.489744749132858,2578.005123349139,1393760.3269150684,0.0,3.7026748998051399,-6.867583454664212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,3600.0 
 01/29  24:00:00,-26.1,-31.7,60.0,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,-22.20390127293859,0.0,-3.4084775082195315,18.138230678033716,2577.407885731674,1393760.3269150684,0.0,3.416326536828641,-7.220160346892827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,3600.0 
 01/30  01:00:00,-26.7875,-32.0125,61.25,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,-22.051394414385116,0.0,-3.725030897019028,18.910088204948214,2577.4124587917669,1393760.3269150684,0.0,3.148764599852245,-7.54821501692506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,3600.0 
 01/30  02:00:00,-26.8875,-32.575,58.25,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,-21.852566908290649,0.0,-4.018688009042013,19.76594420378654,2577.5946233451397,1393760.3269150684,0.0,2.9011893874287848,-7.848890489069568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,3600.0 
 01/30  03:00:00,-21.45,-28.612500000000006,52.875,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,-21.59402632806737,0.0,-4.161946651739697,20.516595822998064,2577.0314873687495,1394440.7718703617,0.0,2.762529656812937,-7.9868746482020509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,3600.0 
 01/30  04:00:00,-17.9875,-26.1,49.125,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,-21.231755485395455,0.0,-4.14916396923478,21.227911607960239,2574.999467473154,1393760.3269150684,0.0,2.745276475050929,-7.954240451950409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,3600.0 
 01/30  05:00:00,-17.425,-25.7875,48.625,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,-20.882963700776857,0.0,-4.100668806251467,21.866126452269005,2572.8246481802059,1393760.3269150684,0.0,2.7665739129715884,-7.884231273956257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,3600.0 
 01/30  06:00:00,-16.5125,-25.225,47.75,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,-20.556408024738198,0.0,-4.043913655505795,22.457749781679678,2570.4979124866038,1393760.3269150684,0.0,2.805170042380025,-7.806352665645852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,3600.0 
 01/30  07:00:00,-15.4125,-24.625,45.75,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,-20.24650831990062,0.0,-3.9737123216755467,23.0003701638393,2567.935834128052,1393760.3269150684,0.0,2.8589203048843325,-7.714962777342852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,3600.0 
 01/30  08:00:00,-14.624999999999999,-24.0875,45.0,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,-19.94773698970902,0.0,-3.889693990449054,23.50183534819279,2564.7706993919116,1393760.3269150684,0.0,2.923676253808971,-7.609448799846703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,3600.0 
 01/30  09:00:00,-13.400000000000003,-23.525,42.5,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,-19.667697439676194,0.0,-3.5872843496717214,23.530717105166806,2562.2339356671157,1389669.1967172253,0.0,3.1692784009184007,-7.276044060226202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,0.0 
 01/30  10:00:00,-12.1125,-22.6125,41.625,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,-19.44805646336381,0.0,-3.0940131186330355,23.050807137843717,2560.227202088323,1389104.4560494647,0.0,3.5844601500683606,-6.745976688563752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,0.0 
