,pv_dirEn,pv_opCO2,pv_dirMR,pv_emCO2,pv_eTrans
0,1963.6914289085976,1634.6539844501192,53725.99019607844,5669.113407750001,974.3419117647059
1,1925.187675400586,1520.608357628018,0.0,0.0,955.2371683967705
2,1887.4388974515546,1070.5200968894712,0.0,0.0,936.507027839971
3,1850.4302916191714,995.8326482692755,0.0,0.0,918.1441449411482
4,1814.1473447246779,623.2616621242636,0.0,0.0,900.141318569753
5,1778.5758281614487,579.7782903481522,0.0,0.0,882.4914887938755
6,1743.701792315146,319.7918200711714,0.0,0.0,865.1877341116426
7,1709.51156109328,297.48076285690365,0.0,0.0,848.2232687369045
8,1675.9917265620393,235.933806831236,0.0,0.0,831.5914399381417
9,1643.1291436882739,219.47330868021953,0.0,0.0,815.2857254295506
10,1610.910925184582,204.16121737694843,3131.8726579027875,85.42659937500001,799.2997308132849
11,1579.3244364554728,189.9174115134404,756.1649553828083,29.453287500000002,783.627187071848
12,1548.3572906426202,176.66735954738644,0.0,0.0,768.2619481096548
13,1517.9973437672747,170.13746259979655,2267.5620735681614,85.24035,753.1979883427989
14,1488.2326899679165,158.26740706957818,491.87575125239954,24.6884625,738.4294003360773
15,1459.0516568312905,147.22549494844483,6920.235230285225,354.29062500000003,723.9503924863503
16,1430.4428008149907,136.95394878925103,0.0,0.0,709.7552867513238
17,1402.3949027597946,127.39902212953584,427.79737810399564,22.78648125,695.8385164228664
18,1374.896963489995,108.44378176007041,0.0,0.0,682.1946239439867
19,1347.9381994999949,100.87793652099572,0.0,0.0,668.8182587686143
20,1321.5080387254852,93.83994094976346,8177.320852903181,1577.1765993750003,655.7041752633475
21,1295.5961163975344,87.29296832536137,0.0,0.0,642.8472306503406
22,1270.1922709779749,81.20276123289429,608.1555250720189,29.453287500000002,630.2423829905299
23,1245.2865401744853,77.81548113327138,0.0,0.0,617.8846892064018
24,1220.869157033809,72.38649407746175,0.0,0.0,605.7693031435313
