Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),PHIUSMELS:Electric Equipment Electricity Energy [J](Hourly),FRIDGE:Electric Equipment Electricity Energy [J](Hourly),RANGE:Electric Equipment Electricity Energy [J](Hourly),CLOTHESDRYER:Electric Equipment Electricity Energy [J](Hourly),CLOTHESWASHER:Electric Equipment Electricity Energy [J](Hourly),DISHWASHER:Electric Equipment Electricity Energy [J](Hourly),SIZINGSENSIBLE:Electric Equipment Electricity Energy [J](Hourly),SIZINGLATENT:Electric Equipment Electricity Energy [J](Hourly),ZONE 1:Zone Mean Air Dewpoint Temperature [C](Hourly),ZONE 1:Zone Ventilation Mass Flow Rate [kg/s](Hourly),ZONE 1:Zone Air Temperature [C](Hourly),ZONE 1:Zone Air Relative Humidity [%](Hourly),ZONE 1:Zone Air CO2 Concentration [ppm](Hourly),Whole Building:Facility Total Purchased Electricity Energy [J](Hourly),Whole Building:Facility Total Surplus Electricity Energy [J](Hourly),ZONE OCCUPANTS:Zone Thermal Comfort Pierce Model Standard Effective Temperature [C](Hourly),ZONE 1:Zone Heat Index [C](Hourly),PHIUS_LIGHTING:Schedule Value [](Hourly),PHIUS_MELS:Schedule Value [](Hourly),COMBINEDDHWSCHEDULE:Schedule Value [](Hourly),BARANGESCHEDULE:Schedule Value [](Hourly),BACLOTHESDRYERSCHEDULE:Schedule Value [](Hourly),BACLOTHESWASHERSCHEDULE:Schedule Value [](Hourly),BADISHWASHERSCHEDULE:Schedule Value [](Hourly),OCCUPANTSCHEDULE:Schedule Value [](Hourly),OCCUPANT_ACTIVITY_SCHEDULE:Schedule Value [](Hourly),OCCUPANT_EFF_SCHEDULE:Schedule Value [](Hourly),OCCUPANT_CLOTHING_SCHEDULE:Schedule Value [](Hourly),CO2_SCHEDULE:Schedule Value [](Hourly),MECHAVAILABLE:Schedule Value [](Hourly),OUTAGECOOLING:Schedule Value [](Hourly),DEMAND CONTROL COOLING:Schedule Value [](Hourly),SHADINGAVAILABLE:Schedule Value [](Hourly),SIZINGLOADS:Schedule Value [](Hourly),WINDOWFRACTION2:Schedule Value [](Hourly),HVAC_ALWAYS_4:Schedule Value [](Hourly),PHIUS_68F:Schedule Value [](Hourly),PHIUS_77F:Schedule Value [](Hourly),DHW_122F:Schedule Value [](Hourly),HUMIDITY_SETPOINT:Schedule Value [](Hourly),AIRVELOCITYSCH:Schedule Value [](Hourly),ALWAYS_ON:Schedule Value [](Hourly),ALWAYS OFF:Schedule Value [](Hourly),ERVAVAILABLE:Schedule Value [](Hourly),PHIUSEXTLIGHT:Exterior Lights Electricity Energy [J](Hourly) 
 07/21  23:00:00,16.2375,6.750000000000001,54.125,988412.2126027398,147945.20547945205,70698.08219178082,352698.63341007209,50498.6301369863,64787.22891111819,0.0,0.0,6.825212769717171,0.0,24.52075793530895,32.16960430821782,682.6341788626207,2476766.0621982535,0.0,22.528210725827124,23.868373396887763,0.049,0.049,0.042,0.016,0.044,0.032,0.044,1.0,120.0,0.0,0.3,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,3600.0 
 07/21  24:00:00,14.624999999999999,7.425,62.0,403433.55616438356,147945.20547945205,48604.93150684932,192381.0727691302,26827.397260273974,45645.54764192418,0.0,0.0,8.025731833321807,0.0,23.876706525686588,36.27755634496349,684.8965572037316,1306511.7622695016,0.0,22.019797446502364,23.267180038373739,0.02,0.02,0.023,0.011,0.024,0.017,0.031,1.0,120.0,0.0,0.3,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,3600.0 
 07/22  01:00:00,14.0875,7.2,63.25,161373.42246575343,147945.20547945205,30930.41095890411,80158.78032047092,14202.739726027396,22086.555310608474,0.0,0.0,8.48390240488662,0.0,23.44024894508205,38.4165819209566,697.0453373165597,736640.2256794607,0.0,21.587062206235467,22.842929034193014,0.008,0.008,0.006,0.007,0.01,0.009,0.015,1.0,120.0,0.0,0.3,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,3600.0 
 07/22  02:00:00,11.4625,7.2,75.875,161373.42246575343,147945.20547945205,30930.41095890411,48095.26819228255,11046.575342465752,10307.059144950621,0.0,0.0,8.651814640504315,0.0,22.791880530622728,40.412918087926147,700.1298825404084,685457.2072138488,0.0,21.034744349137776,22.181850333758633,0.008,0.008,0.003,0.007,0.006,0.007,0.007,1.0,120.0,0.0,0.3,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,3600.0 
 07/22  03:00:00,10.0,6.512499999999999,79.25,161373.42246575343,147945.20547945205,17674.520547945205,32063.51212818837,6312.328767123287,7362.18510353616,0.0,0.0,8.489128626530676,0.0,22.19217415106764,41.44730964242632,693.1571812019587,645701.2095965695,0.0,20.444986284458666,21.549182429059987,0.008,0.008,0.001,0.004,0.004,0.004,0.005,1.0,120.0,0.0,0.3,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,3600.0 
 07/22  04:00:00,9.625,6.475,80.75,161373.42246575343,147945.20547945205,17674.520547945205,16031.756064094185,6312.328767123287,4417.311062121696,0.0,0.0,8.110821393877244,0.0,21.757342024277134,41.482330833995188,691.8604281922201,626724.5794910609,0.0,19.939948528305999,21.07178153181472,0.008,0.008,0.001,0.004,0.002,0.004,0.003,1.0,120.0,0.0,0.3,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,3600.0 
 07/22  05:00:00,8.712500000000003,6.012499999999999,83.0,484120.26739726038,147945.20547945205,30930.41095890411,32063.51212818837,11046.575342465752,4417.311062121696,0.0,0.0,7.875189087801804,0.0,21.36451790683504,41.81515994917902,692.1003113916804,1169407.8657249059,0.0,19.478752927057948,20.648365540635994,0.024,0.024,0.003,0.007,0.004,0.007,0.003,1.0,120.0,0.0,0.3,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,2700.0 
 07/22  06:00:00,10.049999999999999,6.2875,77.375,1008583.890410959,147945.20547945205,48604.93150684932,48095.26819228255,17358.90410958904,14724.37020707232,0.0,0.0,7.605285714441035,0.0,21.539837347417185,40.61591972060154,694.4370688550741,2066988.0375631178,0.0,19.52652800054399,20.80990343041906,0.05,0.05,0.022,0.011,0.006,0.011,0.01,1.0,120.0,0.0,0.3,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0 
 07/22  07:00:00,13.5375,6.7,64.0,1129613.9572602739,147945.20547945205,110465.75342465755,128254.04851275348,34717.80821917808,29448.74041414464,0.0,0.0,7.8839742039959799,0.0,22.314989783159896,39.48252106028235,705.3699580621989,2504960.55268962,0.0,20.16134800367249,21.632976811383263,0.056,0.056,0.075,0.025,0.016,0.022,0.02,1.0,120.0,0.0,0.3,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0 
 07/22  08:00:00,16.0625,7.0125,54.875,1008583.890410959,147945.20547945205,185582.46575342469,256508.09702550696,77326.02739726028,45645.54764192418,0.0,0.0,8.287433665344733,0.0,23.139117355008353,38.601093769425549,721.1748256266999,2582399.211995245,0.0,20.92899938552257,22.51650209448863,0.05,0.05,0.079,0.042,0.032,0.049,0.031,1.0,120.0,0.0,0.3,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0 
