,pv_dirEn,pv_opCO2,pv_dirMR,pv_emCO2,pv_eTrans
0,3262.218059711102,2136.55428965699,46441.42156862746,1166.287750875,588.0110294117648
1,3198.2529997167667,1987.492362471619,0.0,0.0,576.481401384083
2,3135.5421565850647,1783.8802244125352,0.0,0.0,565.177844494199
3,3074.0609378284958,1659.4234645698002,0.0,0.0,554.095925974705
4,3013.7852331651916,1477.104228860806,0.0,0.0,543.231299975201
5,2954.691405063913,1374.0504454519123,0.0,0.0,532.5797058580401
6,2896.756279474425,1233.310693717091,0.0,0.0,522.1369665274904
7,2839.957136739632,1147.265761597294,0.0,0.0,511.89898679165714
8,2784.2717026859136,1061.4172250811102,0.0,0.0,501.8617517565266
9,2729.6781398881503,987.3648605405675,0.0,0.0,492.02132525149665
10,2676.15503910603,918.4789400377373,20902.056464038626,570.1354425000001,482.37384828578104
11,2623.6814108882645,854.3990139885929,756.1649553828083,29.453287500000002,472.91553753507947
12,2572.2366773414356,794.7897804545051,0.0,0.0,463.642683857921
13,2521.800664060231,736.4069226011948,2267.5620735681614,85.24035,454.55165084109905
14,2472.353592215913,685.0296954429718,491.87575125239954,24.6884625,445.6388733736265
15,2423.8760707999145,637.2369259934623,0.0,0.0,436.90085624865344
16,2376.349089019524,592.7785358078719,0.0,0.0,428.33417279279746
17,2329.7540088426704,551.4218937747645,427.79737810399564,22.78648125,419.9354635223504
18,2284.0725576888926,505.4115574669123,0.0,0.0,411.70143482583376
19,2239.28682126362,470.1502860157324,0.0,0.0,403.628857672386
20,2195.379236532961,437.3491032704487,27703.37955253027,2259.3229425000004,395.7145663454765
21,2152.332584836236,406.8363751353012,0.0,0.0,387.95545720144753
22,2110.129985133565,378.4524419863267,608.1555250720189,29.453287500000002,380.3484874523995
23,2068.7548873858477,349.90498535450166,0.0,0.0,372.8906739729407
24,2028.1910660645565,325.4930096320946,0.0,0.0,365.579092130334
25,1988.422613788781,302.78419500659965,2.98789642415823,0.16453125000000002,358.41087463758237
26,1949.43393508704,281.65971628520896,1752.8992355061614,85.24035,351.3832104290023
27,1911.2097402814118,262.00903840484557,0.0,0.0,344.4933435578454
28,1873.7350394915802,243.72933805101914,372.78034707479554,24.6884625,337.7385721155347
29,1836.995136756451,226.72496562885505,0.0,0.0,331.1162471720928
30,1800.9756242710305,210.90694477102795,16442.375998625972,675.6051071250001,0.0
31,1765.6623767363044,196.19250676374693,0.0,0.0,0.0
32,1731.041545819906,182.5046574546483,0.0,0.0,0.0
33,1697.0995547253983,169.77177437641706,489.1170108357971,29.453287500000002,0.0
34,1663.8230928680373,157.92723197806237,305.5168717625304,22.78648125,0.0
35,1631.1991106549387,146.90905300284874,0.0,0.0,0.0
36,1599.2148143675868,136.6595841886965,0.0,0.0,0.0
37,1567.857661144693,127.12519459413629,0.0,0.0,0.0
38,1537.1153540634245,118.25599497128958,0.0,0.0,0.0
39,1506.975837317083,110.00557671747868,1355.0481222342264,85.24035,0.0
40,1477.4272914873359,102.33076903951505,18643.580269064794,2259.3229425000004,0.0
41,1448.458128909153,95.191413060014,0.0,0.0,0.0
42,1420.0569891266205,88.55015168373396,282.5209147053417,24.6884625,0.0
43,1392.2127344378632,82.37223412440368,0.0,0.0,0.0
44,1364.9144455273167,76.62533406921273,393.37873360702343,29.453287500000002,0.0
45,1338.151417183644,71.27938052950023,0.0,0.0,0.0
46,1311.9131541016118,66.30640049255834,0.0,0.0,0.0
47,1286.189366766286,61.680372551217076,0.0,0.0,0.0
48,1260.9699674179274,57.377090745318206,0.0,0.0,0.0
49,1236.2450660960071,53.37403790262159,0.0,0.0,0.0
