Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),WHOLEHOUSE PHIUSMELS:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE FRIDGE:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE RANGE:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE CLOTHESDRYER:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE CLOTHESWASHER:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE DISHWASHER:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE SIZINGSENSIBLE:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE SIZINGLATENT:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE:Zone Mean Air Dewpoint Temperature [C](Hourly),WHOLEHOUSE:Zone Ventilation Mass Flow Rate [kg/s](Hourly),WHOLEHOUSE:Zone Air Temperature [C](Hourly),WHOLEHOUSE:Zone Air Relative Humidity [%](Hourly),WHOLEHOUSE:Zone Air CO2 Concentration [ppm](Hourly),Whole Building:Facility Total Purchased Electricity Energy [J](Hourly),Whole Building:Facility Total Surplus Electricity Energy [J](Hourly),WHOLEHOUSE OCCUPANTS:Zone Thermal Comfort Pierce Model Standard Effective Temperature [C](Hourly),WHOLEHOUSE:Zone Heat Index [C](Hourly),BARANGESCHEDULE:Schedule Value [](Hourly),PHIUS_LIGHTING:Schedule Value [](Hourly),PHIUS_MELS:Schedule Value [](Hourly),COMBINEDDHWSCHEDULE:Schedule Value [](Hourly),BACLOTHESDRYERSCHEDULE:Schedule Value [](Hourly),BACLOTHESWASHERSCHEDULE:Schedule Value [](Hourly),BADISHWASHERSCHEDULE:Schedule Value [](Hourly),OCCUPANT_ACTIVITY_SCHEDULE:Schedule Value [](Hourly),OCCUPANT_EFF_SCHEDULE:Schedule Value [](Hourly),OCCUPANT_CLOTHING_SCHEDULE:Schedule Value [](Hourly),CO2_SCHEDULE:Schedule Value [](Hourly),OCCUPANTSCHEDULE:Schedule Value [](Hourly),MECHAVAILABLE:Schedule Value [](Hourly),NATVENT:Schedule Value [](Hourly),SCHNATVENT:Schedule Value [](Hourly),OUTAGECOOLING:Schedule Value [](Hourly),DEMAND CONTROL COOLING:Schedule Value [](Hourly),SHADINGAVAILABLE:Schedule Value [](Hourly),SIZINGLOADS:Schedule Value [](Hourly),WEATHER MORPH:Schedule Value [](Hourly),HVAC_ALWAYS_4:Schedule Value [](Hourly),PHIUS_68F:Schedule Value [](Hourly),DHW_122F:Schedule Value [](Hourly),PHIUS_77F:Schedule Value [](Hourly),HUMIDITY_SETPOINT:Schedule Value [](Hourly),AIRVELOCITYSCH:Schedule Value [](Hourly),ALWAYS_ON:Schedule Value [](Hourly),ALWAYS OFF:Schedule Value [](Hourly),ERVAVAILABLE:Schedule Value [](Hourly),WHOLEHOUSE_WINDOWFRACTIONCONTROL:Schedule Value [](Hourly),COUNT:Schedule Value [](Hourly),PHIUSEXTLIGHT:Exterior Lights Electricity Energy [J](Hourly) 
 11/05  05:00:00,7.425,-2.95,48.25,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,0.8601078097136525,0.0,19.947218304891196,27.90353821506335,854.4664524968654,1454331.6859631097,0.0,22.738749466005737,18.726088077662526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,3600.0 
 11/05  06:00:00,7.449999999999999,-2.9875,48.375,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,0.8629313622827727,0.0,19.947858789099599,27.9081144922152,865.9060800300599,1457408.2154769167,0.0,22.713165844717584,18.72691210197296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,3600.0 
 11/05  07:00:00,7.7875,-3.1625000000000007,47.375,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,0.8616788150366559,0.0,19.949596789699777,27.902587943588576,873.4454369215138,1458774.2488569534,0.0,22.70012179704423,18.7286795983079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,3600.0 
 11/05  08:00:00,8.150000000000003,-2.95,46.375,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,0.8635987931547168,0.0,19.951151717885894,27.90376347973178,878.2077768946346,1453514.1844954463,0.0,22.716464017974965,18.730420713867486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,900.0 
 11/05  09:00:00,8.799999999999999,-2.7375,45.375,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,0.9029370867131232,0.0,19.952648293134197,27.9804843211987,881.505509972937,1437967.624787814,0.0,22.824074511890499,18.7340702130567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,0.0 
 11/05  10:00:00,9.5375,-2.45,44.375,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,1.0342897507934242,0.0,19.95415714275388,28.244083442820214,886.4263672157202,1427595.6194499015,0.0,22.904214991024785,18.742612813591795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,0.0 
 11/05  11:00:00,10.299999999999999,-1.925,43.375,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,1.23165496044103,0.0,19.95619140534521,28.644664136830529,892.8773784918726,1418876.8027372747,0.0,22.974800682187749,18.75531010945253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,0.0 
 11/05  12:00:00,11.287499999999998,-2.2,40.5,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,1.3888075395692746,0.0,19.95795849989171,28.966594916024339,893.5404168417782,1406707.4388103323,0.0,23.118353480648297,18.765659883799289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,0.0 
 11/05  13:00:00,12.3875,-2.7500000000000006,37.125,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,1.2972705418612343,0.0,19.960673468440996,28.772070015787397,872.1519589900362,1401306.7324799975,0.0,23.215531089354277,18.763567087919549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,0.0 
 11/05  14:00:00,13.4875,-2.8374999999999996,33.5,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,0.9807119825028671,0.0,19.968475405207636,28.111236267635353,835.7177220972752,1394920.5409569352,0.0,23.29737770934102,18.754894114938876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,0.0 
