Date/Time,InteriorLights:Electricity [kWh](Monthly),InteriorEquipment:Electricity [kWh](Monthly),Fans:Electricity [kWh](Monthly),Heating:Electricity [kWh](Monthly),Cooling:Electricity [kWh](Monthly),ElectricityNet:Facility [kWh](Monthly),NaturalGas:Facility [therm](Monthly) 
January,0.0000000000000000,26.630158290410936,4.1372170186230557,0.0000000000000000,0.0000000000000000,31.501875896634026,9.8836791304747269 
January,0.0000000000000000,26.630158290410936,3.7827525489055476,0.0000000000000000,0.0000000000000000,31.147411426916491,8.9467948189108331 
July,0.0000000000000000,58.971700963624450,0.33980243584173087,0.0000000000000000,0.0000000000000000,60.035875737905151,0.0000000000000000 
July,0.0000000000000000,58.971700963624450,0.33980243584173087,0.0000000000000000,0.0000000000000000,60.035827526455257,0.0000000000000000 
January,0.0000000000000000,26.630158290410936,4.1376779837903896,0.0000000000000000,0.0000000000000000,31.502336861801343,9.8852509460931053 
January,0.0000000000000000,26.630158290410936,3.7827522489844667,0.0000000000000000,0.0000000000000000,31.147411126995419,8.9467937967227886 
July,0.0000000000000000,58.971700963624450,0.33980243584173087,0.0000000000000000,0.0000000000000000,60.035875737905151,0.0000000000000000 
July,0.0000000000000000,58.971700963624450,0.33980243584173087,0.0000000000000000,0.0000000000000000,60.035827526455257,0.0000000000000000 
January,0.0000000000000000,825.53490700271027,46.947894701402966,0.0000000000000000,0.0000000000000000,895.16720466466666,96.973123281232319 
February,0.0000000000000000,745.64443213148104,44.251842647962953,0.0000000000000000,0.0000000000000000,810.34183989540441,92.740940773776600 
March,0.0000000000000000,825.53490700271027,30.035657973197669,0.0000000000000000,5.9864674943510670,884.14626322577260,50.674763797273897 
April,0.0000000000000000,798.90474871230049,29.025249898634367,0.0000000000000000,149.40629292790504,999.15784275005569,23.284430697282634 
May,0.0000000000000000,825.53490700271027,31.158519852114761,0.0000000000000000,301.75781974033356,1180.9504139763440,0.67662443907022551 
June,0.0000000000000000,798.90474871230049,53.300671790140981,0.0000000000000000,657.74164866287254,1531.7076907086957,0.0000000000000000 
July,0.0000000000000000,825.53490700271027,56.632508585716650,0.0000000000000000,720.19707289531891,1624.8561026375889,0.0000000000000000 
August,0.0000000000000000,825.53490700271027,57.122070837655919,0.0000000000000000,716.22545193169458,1621.4104520755118,0.0000000000000000 
September,0.0000000000000000,798.90474871230049,37.622008062159232,0.0000000000000000,417.82516448460757,1276.1899898258614,7.1756412767860892E-002 
October,0.0000000000000000,825.53490700271027,17.012173599858514,0.0000000000000000,48.574901767566573,913.73721880163009,7.8381669639009290 
November,0.0000000000000000,798.90474871230049,30.547735321720570,0.0000000000000000,8.9906909841704987,860.39537559705639,51.179185413157469 
December,0.0000000000000000,825.53490700271027,54.573365934620682,0.0000000000000000,0.0000000000000000,902.80941372508869,116.22024041350582 
