Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),WHOLEHOUSE PHIUSMELS:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE FRIDGE:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE RANGE:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE CLOTHESDRYER:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE CLOTHESWASHER:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE DISHWASHER:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE SIZINGSENSIBLE:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE SIZINGLATENT:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE:Zone Mean Air Dewpoint Temperature [C](Hourly),WHOLEHOUSE:Zone Ventilation Mass Flow Rate [kg/s](Hourly),WHOLEHOUSE:Zone Air Temperature [C](Hourly),WHOLEHOUSE:Zone Air Relative Humidity [%](Hourly),WHOLEHOUSE:Zone Air CO2 Concentration [ppm](Hourly),Whole Building:Facility Total Purchased Electricity Energy [J](Hourly),Whole Building:Facility Total Surplus Electricity Energy [J](Hourly),WHOLEHOUSE OCCUPANTS:Zone Thermal Comfort Pierce Model Standard Effective Temperature [C](Hourly),WHOLEHOUSE:Zone Heat Index [C](Hourly),PHIUS_LIGHTING:Schedule Value [](Hourly),PHIUS_MELS:Schedule Value [](Hourly),COMBINEDDHWSCHEDULE:Schedule Value [](Hourly),BARANGESCHEDULE:Schedule Value [](Hourly),BACLOTHESDRYERSCHEDULE:Schedule Value [](Hourly),BACLOTHESWASHERSCHEDULE:Schedule Value [](Hourly),BADISHWASHERSCHEDULE:Schedule Value [](Hourly),OCCUPANTSCHEDULE:Schedule Value [](Hourly),OCCUPANT_ACTIVITY_SCHEDULE:Schedule Value [](Hourly),OCCUPANT_EFF_SCHEDULE:Schedule Value [](Hourly),OCCUPANT_CLOTHING_SCHEDULE:Schedule Value [](Hourly),CO2_SCHEDULE:Schedule Value [](Hourly),MECHAVAILABLE:Schedule Value [](Hourly),OUTAGECOOLING:Schedule Value [](Hourly),DEMAND CONTROL COOLING:Schedule Value [](Hourly),SHADINGAVAILABLE:Schedule Value [](Hourly),SIZINGLOADS:Schedule Value [](Hourly),WINDOWFRACTION2:Schedule Value [](Hourly),HVAC_ALWAYS_4:Schedule Value [](Hourly),PHIUS_68F:Schedule Value [](Hourly),PHIUS_77F:Schedule Value [](Hourly),DHW_122F:Schedule Value [](Hourly),HUMIDITY_SETPOINT:Schedule Value [](Hourly),AIRVELOCITYSCH:Schedule Value [](Hourly),ALWAYS_ON:Schedule Value [](Hourly),ALWAYS OFF:Schedule Value [](Hourly),ERVAVAILABLE:Schedule Value [](Hourly),WHOLEHOUSE_WINDOWFRACTIONCONTROL:Schedule Value [](Hourly),PHIUSEXTLIGHT:Exterior Lights Electricity Energy [J](Hourly) 
 03/20  18:00:00,9.625,-6.012499999999999,33.5,1725743.8105363413,1331506.8493150683,662794.5205479453,4492589.302310413,695934.2465753424,766704.28564511,0.0,0.0,0.8612783607339003,0.0,24.043392638296689,21.738804849731364,674.2246125074224,10919466.762408983,0.0,26.083481243890654,23.07091180653601,0.078,0.078,0.058,0.15,0.054,0.049,0.049,0.55,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0 
 03/20  19:00:00,8.025,-4.1625,42.5,2323116.6680296899,1331506.8493150683,516979.7260273974,4243001.007737611,695934.2465753424,1361291.2826760114,0.0,0.0,1.8543208908652416,0.0,23.821797118688868,23.667704055298139,717.2601867752368,12075313.828149105,0.0,25.901453396086646,22.87752243644609,0.105,0.105,0.069,0.117,0.051,0.049,0.087,0.9,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,1800.0 
 03/20  20:00:00,6.512499999999999,-3.3,49.5,2787740.0016356285,1331506.8493150683,265117.8082191781,4243001.007737611,695934.2465753424,1736819.9123797387,0.0,0.0,3.021475828583164,0.0,23.50109506980403,26.215608572854895,771.5338622224906,12925754.949931104,0.0,25.673986907350505,22.59127880063121,0.126,0.126,0.065,0.06,0.051,0.049,0.111,0.9,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 03/20  21:00:00,5.0375,-3.3,54.75,2831989.8429314319,1331506.8493150683,154652.05479452059,4326197.105928546,695934.2465753424,1408232.3613889772,0.0,0.0,3.7698287871932689,0.0,23.06956793159859,28.36470947102283,812.988931572615,12631104.095000472,0.0,25.3902718884441,22.172714360946274,0.128,0.128,0.059,0.035,0.052,0.049,0.09,0.9,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 03/20  22:00:00,3.3999999999999996,-4.3625,57.0,1946993.0170153594,1331506.8493150683,110465.75342465755,4492589.302310413,667528.7671232876,1048350.7579229055,0.0,0.0,4.083694189250087,0.0,22.408976440977388,30.18123776100771,847.8963799680523,10958201.281799056,0.0,24.979803151781526,21.493495293279218,0.088,0.088,0.048,0.025,0.054,0.047,0.067,1.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 03/20  23:00:00,2.8,-5.375,55.75,1084121.1117471888,1331506.8493150683,70698.08219178082,3660628.320401077,454487.67123287668,688469.1544568333,0.0,0.0,3.959812987315738,0.0,21.500596611788248,31.623664476985416,873.8448468116931,8148488.401753873,0.0,24.413324610334155,20.531935174697304,0.049,0.049,0.042,0.016,0.044,0.032,0.044,1.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 03/20  24:00:00,2.1125,-5.6,57.5,442498.41295803626,1331506.8493150683,48604.93150684932,1996706.3565824058,241446.57534246575,485057.81336731437,0.0,0.0,3.5664187729648244,0.0,20.49617024717157,32.71729240728325,895.7500197726138,5010699.538659606,0.0,23.761515831244375,19.45562315172074,0.02,0.02,0.023,0.011,0.024,0.017,0.031,1.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 03/21  01:00:00,2.0125,-5.9125,56.5,176999.36518321449,1331506.8493150683,30930.41095890411,831960.9819093358,127824.65753424655,234705.39356482953,0.0,0.0,2.9353357673820534,0.0,19.816661974001016,32.63268333815496,918.806251699028,3609026.8322046578,0.0,23.194038708306118,18.70595934745294,0.008,0.008,0.006,0.007,0.01,0.009,0.015,1.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 03/21  02:00:00,-0.23749999999999994,-6.7875,61.875,176999.36518321449,1331506.8493150683,30930.41095890411,499176.58914560146,99419.17808219177,109529.18366358712,0.0,0.0,2.361675666734335,0.0,19.728982913086648,31.49939413398282,937.8630341124814,5950747.343807203,0.0,22.868876663044078,18.57992094011597,0.008,0.008,0.003,0.007,0.006,0.007,0.007,1.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 03/21  03:00:00,-1.7,-6.8875,67.875,176999.36518321449,1331506.8493150683,17674.520547945205,332784.39276373435,56810.95890410958,78235.13118827652,0.0,0.0,1.9504905401115683,0.0,19.69496128422374,30.65328130746305,947.7605328738833,8412726.133028828,0.0,22.62530565338101,18.520404202340985,0.008,0.008,0.001,0.004,0.004,0.004,0.005,1.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
