Date/Time,InteriorLights:Electricity [kWh](Monthly),InteriorEquipment:Electricity [kWh](Monthly),Fans:Electricity [kWh](Monthly),Heating:Electricity [kWh](Monthly),Cooling:Electricity [kWh](Monthly),ElectricityNet:Facility [kWh](Monthly),NaturalGas:Facility [therm](Monthly) 
January,0.0000000000000000,8.8767194301369692,2.2713892163761189,0.0000000000000000,0.0000000000000000,11.405390859192710,8.7445209021395485 
January,0.0000000000000000,8.8767194301369692,2.0907903106238490,0.0000000000000000,0.0000000000000000,11.224791952939405,7.8818142080669036 
July,0.0000000000000000,28.834832996615106,1.4552768638541698,0.0000000000000000,14.649330770927177,45.186038201182392,4.6842942103148981E-002 
July,0.0000000000000000,28.834832996615106,1.2823422754183429,0.0000000000000000,11.971701719118197,42.335611817263356,5.0746517035890046E-002 
January,0.0000000000000000,8.8767194301369692,2.2718480737021136,0.0000000000000000,0.0000000000000000,11.405849716518029,8.7467128272659895 
January,0.0000000000000000,8.8767194301369692,2.0907900181961914,0.0000000000000000,0.0000000000000000,11.224791660511752,7.8818128111631269 
July,0.0000000000000000,28.834832996615106,1.4552768635911459,0.0000000000000000,14.649330767166802,45.186038197158965,4.6842942103149779E-002 
July,0.0000000000000000,28.834832996615106,1.2823422754139520,0.0000000000000000,11.971701719055936,42.335611817196735,5.0746517035890074E-002 
January,109.03484400671448,1476.5845256255766,32.220019504734204,0.0000000000000000,0.0000000000000000,1640.4940076819660,87.233269486727096 
February,98.483084909290739,1333.6892489521292,26.679993408394953,0.0000000000000000,0.0000000000000000,1479.2978923857468,67.218393839724811 
March,109.03484400671448,1476.5845256255766,20.797716899925110,0.0000000000000000,0.62236247792027877,1629.6286797656066,32.463506412018432 
April,105.51759097423991,1428.9527667344275,23.535720633517599,0.0000000000000000,111.71345457152668,1691.5410841248899,12.003974359843998 
May,109.03484400671448,1476.5845256255766,31.974126967060652,0.0000000000000000,257.23040393447019,1897.3230679149622,0.40963403815938004 
June,105.51759097423991,1428.9527667344275,50.857754774197588,0.0000000000000000,552.92523474134009,2160.0139687675533,0.39642003692843192 
July,109.03484400671448,1476.5845256255766,66.116467397006105,0.0000000000000000,796.78383294293303,2471.0112841260534,0.40963403815938004 
August,109.03484400671448,1476.5845256255766,56.349506514912271,0.0000000000000000,632.05224163079231,2296.5491400814035,0.40963403815938004 
September,105.51759097423991,1428.9527667344275,41.177819714819059,0.0000000000000000,402.32284724986528,1999.8090932401135,0.39642003692843192 
October,109.03484400671448,1476.5845256255766,19.473408838729725,0.0000000000000000,73.724393238958754,1701.4324081414322,1.3798564735025716 
November,105.51759097423991,1428.9527667344275,21.547973259908343,0.0000000000000000,23.237465675238184,1601.2079972226452,30.831667652912223 
December,109.03484400671448,1476.5845256255766,31.027316794692645,0.0000000000000000,0.0000000000000000,1639.3478272147092,81.532018291746851 
