Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),PHIUSMELS:Electric Equipment Electricity Energy [J](Hourly),FRIDGE:Electric Equipment Electricity Energy [J](Hourly),RANGE:Electric Equipment Electricity Energy [J](Hourly),CLOTHESDRYER:Electric Equipment Electricity Energy [J](Hourly),CLOTHESWASHER:Electric Equipment Electricity Energy [J](Hourly),DISHWASHER:Electric Equipment Electricity Energy [J](Hourly),SIZINGSENSIBLE:Electric Equipment Electricity Energy [J](Hourly),SIZINGLATENT:Electric Equipment Electricity Energy [J](Hourly),ZONE 1:Zone Mean Air Dewpoint Temperature [C](Hourly),ZONE 1:Zone Ventilation Mass Flow Rate [kg/s](Hourly),ZONE 1:Zone Air Temperature [C](Hourly),ZONE 1:Zone Air Relative Humidity [%](Hourly),ZONE 1:Zone Air CO2 Concentration [ppm](Hourly),Whole Building:Facility Total Purchased Electricity Energy [J](Hourly),Whole Building:Facility Total Surplus Electricity Energy [J](Hourly),ZONE OCCUPANTS:Zone Thermal Comfort Pierce Model Standard Effective Temperature [C](Hourly),ZONE 1:Zone Heat Index [C](Hourly),BARANGESCHEDULE:Schedule Value [](Hourly),PHIUS_LIGHTING:Schedule Value [](Hourly),PHIUS_MELS:Schedule Value [](Hourly),COMBINEDDHWSCHEDULE:Schedule Value [](Hourly),BACLOTHESDRYERSCHEDULE:Schedule Value [](Hourly),BACLOTHESWASHERSCHEDULE:Schedule Value [](Hourly),BADISHWASHERSCHEDULE:Schedule Value [](Hourly),OCCUPANT_ACTIVITY_SCHEDULE:Schedule Value [](Hourly),OCCUPANT_EFF_SCHEDULE:Schedule Value [](Hourly),OCCUPANT_CLOTHING_SCHEDULE:Schedule Value [](Hourly),CO2_SCHEDULE:Schedule Value [](Hourly),OCCUPANTSCHEDULE:Schedule Value [](Hourly),MECHAVAILABLE:Schedule Value [](Hourly),NATVENT:Schedule Value [](Hourly),SCHNATVENT:Schedule Value [](Hourly),OUTAGECOOLING:Schedule Value [](Hourly),DEMAND CONTROL COOLING:Schedule Value [](Hourly),SHADINGAVAILABLE:Schedule Value [](Hourly),SIZINGLOADS:Schedule Value [](Hourly),WEATHER MORPH:Schedule Value [](Hourly),WINDOWFRACTION2:Schedule Value [](Hourly),HVAC_ALWAYS_4:Schedule Value [](Hourly),PHIUS_68F:Schedule Value [](Hourly),DHW_122F:Schedule Value [](Hourly),PHIUS_77F:Schedule Value [](Hourly),HUMIDITY_SETPOINT:Schedule Value [](Hourly),AIRVELOCITYSCH:Schedule Value [](Hourly),ALWAYS_ON:Schedule Value [](Hourly),ALWAYS OFF:Schedule Value [](Hourly),ERVAVAILABLE:Schedule Value [](Hourly),COUNT:Schedule Value [](Hourly),PHIUSEXTLIGHT:Exterior Lights Electricity Energy [J](Hourly) 
 02/09  15:00:00,-15.912500000000002,-21.1,64.875,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-16.43201150108627,0.0,19.8873122708047,6.231703186416277,617.8389198337316,530067.1076586077,0.0,21.821436827704348,18.09431574775271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0 
 02/09  16:00:00,-16.787499999999999,-20.4125,74.125,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-16.383703301372099,0.0,19.886642826268777,6.260159620807196,617.080428226579,558896.5346620255,0.0,21.704454028876268,18.0943223878834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0 
 02/09  17:00:00,-17.575,-20.375,79.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-16.288509363561294,0.0,19.88839357319717,6.315240621369401,615.0146148373126,591556.0078759047,0.0,21.565684003157175,18.097686435630427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0 
 02/09  18:00:00,-18.4875,-20.9125,81.5,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-16.45037000660154,0.0,19.88972381323159,6.220235947518256,613.0646422435209,626968.93927483,0.0,21.42710845455637,18.096669022073287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,1800.0 
 02/09  19:00:00,-19.2125,-21.787499999999999,80.5,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-16.807921973833158,0.0,19.890870507545249,6.015680502092677,611.0419489987799,657560.3763778263,0.0,21.313071914059579,18.092589215854419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 02/09  20:00:00,-19.775,-22.8875,76.5,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-17.35010864135396,0.0,19.891633138064678,5.717463226344892,609.2181459849273,678301.4127993705,0.0,21.233993170524124,18.08564132500348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 02/09  21:00:00,-20.375,-22.9875,80.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-17.85256578896844,0.0,19.89180721583914,5.4527004616989,607.9888980605491,690588.3740400882,0.0,21.184724744057907,18.078919560589637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 02/09  22:00:00,-20.6,-23.1125,80.5,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-18.08430701306884,0.0,19.892044913585854,5.33450364971517,607.5429349306544,696333.4091761333,0.0,21.15506780770957,18.076094778020339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 02/09  23:00:00,-20.6,-23.3,79.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-18.29390301272094,0.0,19.89241358470172,5.229608609997092,607.3877495568231,700422.2823762329,0.0,21.133385831865927,18.073761390210707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 02/09  24:00:00,-20.225,-22.9875,79.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-18.350660582535306,0.0,19.892899108184026,5.20138319595265,607.5742873222149,695575.1820986124,0.0,21.128590308512896,18.073558469118969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
