Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),WHOLEHOUSE PHIUSMELS:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE FRIDGE:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE RANGE:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE CLOTHESDRYER:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE CLOTHESWASHER:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE DISHWASHER:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE SIZINGSENSIBLE:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE SIZINGLATENT:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE:Zone Mean Air Dewpoint Temperature [C](Hourly),WHOLEHOUSE:Zone Ventilation Mass Flow Rate [kg/s](Hourly),WHOLEHOUSE:Zone Air Temperature [C](Hourly),WHOLEHOUSE:Zone Air Relative Humidity [%](Hourly),WHOLEHOUSE:Zone Air CO2 Concentration [ppm](Hourly),Whole Building:Facility Total Purchased Electricity Energy [J](Hourly),Whole Building:Facility Total Surplus Electricity Energy [J](Hourly),WHOLEHOUSE OCCUPANTS:Zone Thermal Comfort Pierce Model Standard Effective Temperature [C](Hourly),WHOLEHOUSE:Zone Heat Index [C](Hourly),BARANGESCHEDULE:Schedule Value [](Hourly),PHIUS_LIGHTING:Schedule Value [](Hourly),PHIUS_MELS:Schedule Value [](Hourly),COMBINEDDHWSCHEDULE:Schedule Value [](Hourly),BACLOTHESDRYERSCHEDULE:Schedule Value [](Hourly),BACLOTHESWASHERSCHEDULE:Schedule Value [](Hourly),BADISHWASHERSCHEDULE:Schedule Value [](Hourly),OCCUPANT_ACTIVITY_SCHEDULE:Schedule Value [](Hourly),OCCUPANT_EFF_SCHEDULE:Schedule Value [](Hourly),OCCUPANT_CLOTHING_SCHEDULE:Schedule Value [](Hourly),CO2_SCHEDULE:Schedule Value [](Hourly),OCCUPANTSCHEDULE:Schedule Value [](Hourly),MECHAVAILABLE:Schedule Value [](Hourly),NATVENT:Schedule Value [](Hourly),SCHNATVENT:Schedule Value [](Hourly),OUTAGECOOLING:Schedule Value [](Hourly),DEMAND CONTROL COOLING:Schedule Value [](Hourly),SHADINGAVAILABLE:Schedule Value [](Hourly),SIZINGLOADS:Schedule Value [](Hourly),WEATHER MORPH:Schedule Value [](Hourly),HVAC_ALWAYS_4:Schedule Value [](Hourly),PHIUS_68F:Schedule Value [](Hourly),DHW_122F:Schedule Value [](Hourly),PHIUS_77F:Schedule Value [](Hourly),HUMIDITY_SETPOINT:Schedule Value [](Hourly),AIRVELOCITYSCH:Schedule Value [](Hourly),ALWAYS_ON:Schedule Value [](Hourly),ALWAYS OFF:Schedule Value [](Hourly),ERVAVAILABLE:Schedule Value [](Hourly),WHOLEHOUSE_WINDOWFRACTIONCONTROL:Schedule Value [](Hourly),COUNT:Schedule Value [](Hourly),PHIUSEXTLIGHT:Exterior Lights Electricity Energy [J](Hourly) 
 10/18  07:00:00,11.1,-5.7875,30.625,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,11.310610472895988,0.0,19.960464763725417,57.4387959787598,2401.3697206522067,2240443.9948070885,0.0,23.336788145978539,19.511857579543354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,2700.0 
 10/18  08:00:00,12.162500000000002,-4.85,30.375,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,11.167203313741304,0.0,19.993368406374598,56.77959367883597,2401.586175038554,1583443.0222382842,0.0,23.52596097097774,19.530839081959447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,0.0 
 10/18  09:00:00,15.55,-3.7124999999999996,26.875,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,11.06472921711781,0.0,20.606926680966184,54.30339131598595,2401.538648713258,1388617.2714116125,0.0,24.13989881939223,20.14109678898021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,0.0 
 10/18  10:00:00,18.95,-3.3,22.5,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,11.043304384956955,0.0,21.46147574478096,51.44991513324793,2400.8862886117615,1387881.0654822656,0.0,24.911658759355157,21.006593325516087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,0.0 
 10/18  11:00:00,21.0625,-3.675,19.125,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,11.082231712773228,0.0,22.250285368494056,49.15558961870938,2399.8162243325079,1387384.4294008793,0.0,25.589336091200907,21.81437652316532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,0.0 
 10/18  12:00:00,22.7,-3.2124999999999996,17.375,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,11.165094838800173,0.0,22.901537200041699,47.50871006192962,2398.6018764541479,1387151.3173818496,0.0,26.144623440128038,22.487751682774034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,0.0 
 10/18  13:00:00,23.987499999999998,-2.425,17.0,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,11.293146467439886,0.0,23.489961852166073,46.239494539194378,2397.2642014396649,1387148.580677798,0.0,26.647694715193706,23.101878172572755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,0.0 
 10/18  14:00:00,24.775,-1.5125000000000002,17.625,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,11.489244483104399,0.0,24.112873189778037,45.1210779517538,2395.755827123767,1387364.2919173944,0.0,27.18218126891855,23.75787754416275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,0.0 
 10/18  15:00:00,25.0,-0.7875000000000001,18.625,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,11.74873998954077,0.0,24.76156443055544,44.15331864060284,2394.0022349278599,1387795.2950418574,0.0,27.745954739145384,24.446168638115617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,0.0 
 10/18  16:00:00,24.625,-0.9125000000000001,18.375,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,11.822897498913046,0.0,24.999068106765909,43.74532075747759,2392.0779632522865,2193037.8177774588,0.0,28.087485847719344,24.69676940388775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,0.0 
