Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),WHOLEHOUSE PHIUSMELS:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE FRIDGE:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE RANGE:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE CLOTHESDRYER:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE CLOTHESWASHER:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE DISHWASHER:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE SIZINGSENSIBLE:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE SIZINGLATENT:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE:Zone Mean Air Dewpoint Temperature [C](Hourly),WHOLEHOUSE:Zone Ventilation Mass Flow Rate [kg/s](Hourly),WHOLEHOUSE:Zone Air Temperature [C](Hourly),WHOLEHOUSE:Zone Air Relative Humidity [%](Hourly),WHOLEHOUSE:Zone Air CO2 Concentration [ppm](Hourly),Whole Building:Facility Total Purchased Electricity Energy [J](Hourly),Whole Building:Facility Total Surplus Electricity Energy [J](Hourly),WHOLEHOUSE OCCUPANTS:Zone Thermal Comfort Pierce Model Standard Effective Temperature [C](Hourly),WHOLEHOUSE:Zone Heat Index [C](Hourly),BARANGESCHEDULE:Schedule Value [](Hourly),PHIUS_LIGHTING:Schedule Value [](Hourly),PHIUS_MELS:Schedule Value [](Hourly),COMBINEDDHWSCHEDULE:Schedule Value [](Hourly),BACLOTHESDRYERSCHEDULE:Schedule Value [](Hourly),BACLOTHESWASHERSCHEDULE:Schedule Value [](Hourly),BADISHWASHERSCHEDULE:Schedule Value [](Hourly),OCCUPANT_ACTIVITY_SCHEDULE:Schedule Value [](Hourly),OCCUPANT_EFF_SCHEDULE:Schedule Value [](Hourly),OCCUPANT_CLOTHING_SCHEDULE:Schedule Value [](Hourly),CO2_SCHEDULE:Schedule Value [](Hourly),OCCUPANTSCHEDULE:Schedule Value [](Hourly),MECHAVAILABLE:Schedule Value [](Hourly),NATVENT:Schedule Value [](Hourly),SCHNATVENT:Schedule Value [](Hourly),OUTAGECOOLING:Schedule Value [](Hourly),DEMAND CONTROL COOLING:Schedule Value [](Hourly),SHADINGAVAILABLE:Schedule Value [](Hourly),SIZINGLOADS:Schedule Value [](Hourly),WEATHER MORPH:Schedule Value [](Hourly),HVAC_ALWAYS_4:Schedule Value [](Hourly),PHIUS_68F:Schedule Value [](Hourly),DHW_122F:Schedule Value [](Hourly),PHIUS_77F:Schedule Value [](Hourly),HUMIDITY_SETPOINT:Schedule Value [](Hourly),AIRVELOCITYSCH:Schedule Value [](Hourly),ALWAYS_ON:Schedule Value [](Hourly),ALWAYS OFF:Schedule Value [](Hourly),ERVAVAILABLE:Schedule Value [](Hourly),WHOLEHOUSE_WINDOWFRACTIONCONTROL:Schedule Value [](Hourly),WHOLEHOUSE_TB SCHEDULE:Schedule Value [](Hourly),COUNT:Schedule Value [](Hourly),PHIUSEXTLIGHT:Exterior Lights Electricity Energy [J](Hourly) 
 05/12  11:00:00,14.7375,-2.0125,31.25,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,3.1563292228664978,0.0,21.41990916090298,30.027726447454879,1002.8368310876712,204232.06860292547,0.0,18.952707717051383,20.40151293423238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.3,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,-7.154417421147652,0.0,0.0 
 05/12  12:00:00,15.912500000000002,-2.8875,26.5,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,2.919961268925386,0.0,21.76632492909001,28.91145536525493,994.3337221441378,203938.75461573818,0.0,19.328764936112138,20.75342320098067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.3,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,-5.899772925057821,0.0,0.0 
 05/12  13:00:00,16.1,-3.9875000000000004,23.75,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,2.597870759823051,0.0,22.078359057179904,27.72327234909726,991.8200079903558,203903.63542623458,0.0,19.637679242614359,21.06563596312432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.3,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,-5.89665361279928,0.0,0.0 
 05/12  14:00:00,17.1625,-4.0875,22.375,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,2.5091157935484555,0.0,22.421548569220854,26.97918850587693,1008.6957581699096,204021.44038784453,0.0,19.98647691587692,21.423715570463057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.3,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,-5.595064208684484,0.0,0.0 
 05/12  15:00:00,17.425,-4.2125,22.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,2.304099893058827,0.0,22.804325852475018,25.977716593635166,1003.0985137859561,204337.63938397519,0.0,20.38883769342932,21.818621037667439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.3,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,-5.134225177437984,0.0,0.0 
 05/12  16:00:00,17.8875,-4.775,20.125,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,2.153169359525397,0.0,23.224914207858587,25.0533729727051,1001.7202820552539,204844.4133117888,0.0,20.809248042509727,22.257132589598414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.3,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,-5.500164215940539,0.0,0.0 
 05/12  17:00:00,17.9875,-5.0,19.625,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,2.1307188317212315,0.0,23.60175013420853,24.449946193441137,1011.9653705705042,205495.52008340148,0.0,21.183161261570157,22.655895964902567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.3,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,-5.411179010510991,0.0,0.0 
 05/12  18:00:00,18.1125,-5.0,19.375,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,2.194072979731558,0.0,23.86789198392529,24.170396137253179,1023.17223881007,206165.14759557189,0.0,21.46327858406709,22.941352637012775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.3,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,-5.818716440338971,0.0,0.0 
 05/12  19:00:00,17.3,-2.9375,24.625,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,2.3331879111103754,0.0,23.944122971412378,24.300491324457619,1026.6362180718414,206413.05233996377,0.0,21.57717152151916,23.02860365313667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.3,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,-6.2568420795495529,0.0,0.0 
 05/12  20:00:00,14.575,-1.7,32.375,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,2.7436587004058348,0.0,23.488955956505707,25.720578260498387,1022.979948926318,208372.8128944636,0.0,21.21065094268808,22.56499998451374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.3,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,-8.249639929193235,0.0,1800.0 
