,pv_dirEn,pv_opCO2,pv_dirMR,pv_emCO2,pv_eTrans
0,6503.37201478982,2003.8904152392386,239337.77450980394,27263.49862275,1485.0707720588234
1,6375.854916460608,1864.0841071992916,0.0,0.0,1455.951737312572
2,6250.838153392752,1372.7908972576988,0.0,0.0,1427.4036640319332
3,6128.27269940466,1277.0147881466964,0.0,0.0,1399.4153568940524
4,6008.110489612412,789.4134539226944,0.0,0.0,1371.9758400922083
5,5890.3044015807955,734.3380966722739,0.0,0.0,1345.0743530315765
6,5774.808236843917,386.06671466560863,0.0,0.0,1318.7003461093889
7,5661.576702788154,359.131827595915,0.0,0.0,1292.843476577832
8,5550.565394890346,259.12788592396976,0.0,0.0,1267.4936044880706
9,5441.730779304261,241.04919620834394,0.0,0.0,1242.6407887137948
10,5335.030175788492,224.23181042636648,63254.4998469089,1725.3628762500002,1218.27528305274
11,5230.421740969109,208.5877306291781,756.1649553828083,29.453287500000002,1194.3875324046471
12,5127.864451930499,194.0350982597006,0.0,0.0,1170.9681690241637
13,5027.31809012794,145.73178712991114,2267.5620735681614,85.24035,1148.0080088472193
14,4928.743225615628,135.5644531441034,491.87575125239954,24.6884625,1125.4980478894306
15,4832.101201583949,126.1064680410264,6920.235230285225,354.29062500000003,1103.429458715128
16,4737.354119199949,117.30834236374551,0.0,0.0,1081.7935869756157
17,4644.464822745048,109.12403940813536,427.79737810399564,22.78648125,1060.5819480153095
18,4553.396885044165,55.363554590221604,0.0,0.0,1039.786223544421
19,4464.114593180554,51.50098101415963,0.0,0.0,1019.3982583768833
20,4376.582934490739,47.907889315497336,57498.815851432126,3217.11287625,999.4100572322386
21,4290.767582834058,44.56547843302078,0.0,0.0,979.8137816002339
22,4206.634885131429,41.456259007461185,608.1555250720189,29.453287500000002,960.6017466668959
23,4124.151848168068,24.603708469677205,0.0,0.0,941.7664183008783
24,4043.286125654968,22.887170669467167,0.0,0.0,923.3004100989003
