Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),WHOLEHOUSE PHIUSMELS:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE FRIDGE:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE RANGE:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE CLOTHESDRYER:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE CLOTHESWASHER:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE DISHWASHER:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE SIZINGSENSIBLE:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE SIZINGLATENT:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE:Zone Mean Air Dewpoint Temperature [C](Hourly),WHOLEHOUSE:Zone Ventilation Mass Flow Rate [kg/s](Hourly),WHOLEHOUSE:Zone Air Temperature [C](Hourly),WHOLEHOUSE:Zone Air Relative Humidity [%](Hourly),WHOLEHOUSE:Zone Air CO2 Concentration [ppm](Hourly),Whole Building:Facility Total Purchased Electricity Energy [J](Hourly),Whole Building:Facility Total Surplus Electricity Energy [J](Hourly),WHOLEHOUSE OCCUPANTS:Zone Thermal Comfort Pierce Model Standard Effective Temperature [C](Hourly),WHOLEHOUSE:Zone Heat Index [C](Hourly),PHIUS_LIGHTING:Schedule Value [](Hourly),PHIUS_MELS:Schedule Value [](Hourly),COMBINEDDHWSCHEDULE:Schedule Value [](Hourly),BARANGESCHEDULE:Schedule Value [](Hourly),BACLOTHESDRYERSCHEDULE:Schedule Value [](Hourly),BACLOTHESWASHERSCHEDULE:Schedule Value [](Hourly),BADISHWASHERSCHEDULE:Schedule Value [](Hourly),OCCUPANTSCHEDULE:Schedule Value [](Hourly),OCCUPANT_ACTIVITY_SCHEDULE:Schedule Value [](Hourly),OCCUPANT_EFF_SCHEDULE:Schedule Value [](Hourly),OCCUPANT_CLOTHING_SCHEDULE:Schedule Value [](Hourly),CO2_SCHEDULE:Schedule Value [](Hourly),MECHAVAILABLE:Schedule Value [](Hourly),OUTAGECOOLING:Schedule Value [](Hourly),DEMAND CONTROL COOLING:Schedule Value [](Hourly),SHADINGAVAILABLE:Schedule Value [](Hourly),SIZINGLOADS:Schedule Value [](Hourly),WINDOWFRACTION2:Schedule Value [](Hourly),HVAC_ALWAYS_4:Schedule Value [](Hourly),PHIUS_68F:Schedule Value [](Hourly),PHIUS_77F:Schedule Value [](Hourly),DHW_122F:Schedule Value [](Hourly),HUMIDITY_SETPOINT:Schedule Value [](Hourly),AIRVELOCITYSCH:Schedule Value [](Hourly),ALWAYS_ON:Schedule Value [](Hourly),ALWAYS OFF:Schedule Value [](Hourly),ERVAVAILABLE:Schedule Value [](Hourly),WHOLEHOUSE_WINDOWFRACTIONCONTROL:Schedule Value [](Hourly),PHIUSEXTLIGHT:Exterior Lights Electricity Energy [J](Hourly) 
 02/09  05:00:00,-17.0125,-19.2125,83.0,530998.0955496435,1331506.8493150683,30930.41095890411,332784.39276373435,99419.17808219177,46941.078712965915,0.0,0.0,-12.692549843506221,0.0,19.681269981524346,8.903949473735088,654.9996935062576,3194935.414095951,0.0,21.30429126347851,17.937444549268755,0.024,0.024,0.003,0.007,0.004,0.007,0.003,1.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 02/09  06:00:00,-17.575,-19.775,83.0,1106246.0323950907,1331506.8493150683,48604.93150684932,499176.58914560146,156230.13698630135,156470.26237655304,0.0,0.0,-13.26965897466414,0.0,19.679737950880967,8.449097380935064,656.0184543017277,4443063.709439394,0.0,21.27863275320441,17.92388262202681,0.05,0.05,0.022,0.011,0.006,0.011,0.01,1.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 02/09  07:00:00,-18.1125,-20.375,83.0,1238995.5562825015,1331506.8493150683,110465.75342465755,1331137.5710549374,312460.2739726027,312940.52475310608,0.0,0.0,-13.552853503112468,0.0,19.678160071671348,8.234132316947902,657.0508112587513,5851952.748035634,0.0,21.263394532478587,17.916533978225457,0.056,0.056,0.075,0.025,0.016,0.022,0.02,1.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 02/09  08:00:00,-18.3,-20.6,83.0,1106246.0323950907,1331506.8493150683,185582.46575342469,2662275.1421098748,695934.2465753424,485057.81336731437,0.0,0.0,-13.402182377796694,0.0,19.677039010773357,8.34896004257256,659.800884501997,7586175.786424228,0.0,21.265501078938884,17.91829909074009,0.05,0.05,0.079,0.042,0.032,0.049,0.031,1.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,2700.0 
 02/09  09:00:00,-18.3,-20.6,83.0,486748.25425383987,1331506.8493150683,203256.98630136989,3993412.7131648117,1036799.9999999998,907527.5217840077,0.0,0.0,-12.92870785411209,0.0,19.675930165590846,8.7172277566446,659.6928191402078,8709020.813371595,0.0,21.307759621157844,17.9266952402401,0.022,0.022,0.076,0.046,0.048,0.073,0.058,0.9,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0 
 02/09  10:00:00,-17.9875,-20.6,80.5,331873.80971852716,1331506.8493150683,212094.2465753425,5657334.676983484,1221435.6164383558,1017056.7054475948,0.0,0.0,-12.807831189929388,0.0,19.673733958510373,8.81402747182583,635.075922728599,10409094.330035897,0.0,21.392503170301106,17.926806960570198,0.015,0.015,0.067,0.048,0.068,0.086,0.065,0.4,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0 
 02/09  11:00:00,-17.425,-20.6,77.125,331873.80971852716,1331506.8493150683,185582.46575342469,6489295.658892819,1193030.1369863013,876233.4693086969,0.0,0.0,-12.976464569140085,0.0,19.671013605663167,8.681609651763062,599.6429520916553,11017082.11757458,0.0,21.481549316639528,17.920356996025519,0.015,0.015,0.061,0.042,0.078,0.084,0.056,0.25,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0 
 02/09  12:00:00,-16.8875,-20.6,73.5,331873.80971852716,1331506.8493150683,220931.5068493151,6738883.95346562,1065205.4794520548,751057.2594074546,0.0,0.0,-13.081652309651352,0.0,19.66818300081161,8.60049433943364,575.3125398664635,11022808.313470506,0.0,21.620853999926799,17.915125319755764,0.015,0.015,0.048,0.05,0.081,0.075,0.048,0.25,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0 
 02/09  13:00:00,-16.325,-20.9125,68.25,331873.80971852716,1331506.8493150683,251861.91780821919,6156511.266129084,951583.5616438356,641528.0757438674,0.0,0.0,-13.216912420666392,0.0,19.664190189873904,8.497456113947834,561.6140374276821,10230232.79196782,0.0,21.711413442585945,17.908042785169927,0.015,0.015,0.042,0.057,0.074,0.067,0.041,0.25,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0 
 02/09  14:00:00,-15.787500000000002,-21.1,64.125,331873.80971852716,1331506.8493150683,203256.98630136989,5574138.57879255,852164.3835616437,719763.2069321439,0.0,0.0,-13.34676217723393,0.0,19.66033200984036,8.39961023717537,555.1986875857087,9558725.718903147,0.0,21.823011448501729,17.901243922572865,0.015,0.015,0.037,0.046,0.067,0.06,0.046,0.25,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0 
 02/09  15:00:00,-15.912500000000002,-21.1,64.875,575247.936845447,1331506.8493150683,251861.91780821919,4742177.596883214,695934.2465753424,563292.9445555909,0.0,0.0,-13.613041961458624,0.0,19.653102078866114,8.202121047937699,551.2459204034344,8847441.341557039,0.0,21.88615857394668,17.888134336337769,0.026,0.026,0.037,0.057,0.057,0.049,0.036,0.25,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0 
 02/09  16:00:00,-16.787499999999999,-20.4125,74.125,331873.80971852716,1331506.8493150683,194419.7260273973,5074961.989646948,738542.4657534246,594586.9970309015,0.0,0.0,-13.970157783594294,0.0,19.65248370104071,7.938840818048206,547.1503871229053,8850228.907522276,0.0,21.770533650315259,17.88057958139381,0.015,0.015,0.033,0.044,0.061,0.052,0.038,0.25,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0 
 02/09  17:00:00,-17.575,-20.375,79.0,1238995.5562825015,1331506.8493150683,406513.97260273978,4575785.400501347,710136.9863013697,594586.9970309015,0.0,0.0,-14.167675583837429,0.0,19.659227351133745,7.793084665543127,543.2631572235484,9987295.724779033,0.0,21.631210473322743,17.884191741402974,0.056,0.056,0.044,0.092,0.055,0.05,0.038,0.25,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0 
 02/09  18:00:00,-18.4875,-20.9125,81.5,1725743.8105363413,1331506.8493150683,662794.5205479453,4492589.302310413,695934.2465753424,766704.28564511,0.0,0.0,-13.908301043408328,0.0,19.663512014047336,7.978926467000809,553.0782605124913,11105154.443999265,0.0,21.504475142315884,17.893757406534868,0.078,0.078,0.058,0.15,0.054,0.049,0.049,0.55,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,1800.0 
 02/09  19:00:00,-19.2125,-21.787499999999999,80.5,2323116.6680296899,1331506.8493150683,516979.7260273974,4243001.007737611,695934.2465753424,1361291.2826760114,0.0,0.0,-13.287664021053093,0.0,19.666988525169815,8.442310717762899,580.5468772327636,12262220.393548292,0.0,21.412465964064887,17.909681046428383,0.105,0.105,0.069,0.117,0.051,0.049,0.087,0.9,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 02/09  20:00:00,-19.775,-22.8875,76.5,2787740.0016356285,1331506.8493150683,265117.8082191781,4243001.007737611,695934.2465753424,1736819.9123797387,0.0,0.0,-13.026149725527884,0.0,19.668901629831436,8.643585333072722,603.8733547055164,13128371.65538057,0.0,21.35201184626144,17.917040965400365,0.126,0.126,0.065,0.06,0.051,0.049,0.111,0.9,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 02/09  21:00:00,-20.375,-22.9875,80.0,2831989.8429314319,1331506.8493150683,154652.05479452059,4326197.105928546,695934.2465753424,1408232.3613889772,0.0,0.0,-13.145825019109342,0.0,19.668413657291138,8.550336013714294,616.7535303688392,12843174.688513652,0.0,21.307914548106603,17.914069352267235,0.128,0.128,0.059,0.035,0.052,0.049,0.09,0.9,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,25.0,50.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
