Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),PHIUSMELS:Electric Equipment Electricity Energy [J](Hourly),FRIDGE:Electric Equipment Electricity Energy [J](Hourly),RANGE:Electric Equipment Electricity Energy [J](Hourly),CLOTHESDRYER:Electric Equipment Electricity Energy [J](Hourly),CLOTHESWASHER:Electric Equipment Electricity Energy [J](Hourly),DISHWASHER:Electric Equipment Electricity Energy [J](Hourly),SIZINGSENSIBLE:Electric Equipment Electricity Energy [J](Hourly),SIZINGLATENT:Electric Equipment Electricity Energy [J](Hourly),ZONE 1:Zone Mean Air Dewpoint Temperature [C](Hourly),ZONE 1:Zone Ventilation Mass Flow Rate [kg/s](Hourly),ZONE 1:Zone Air Temperature [C](Hourly),ZONE 1:Zone Air Relative Humidity [%](Hourly),ZONE 1:Zone Air CO2 Concentration [ppm](Hourly),Whole Building:Facility Total Purchased Electricity Energy [J](Hourly),Whole Building:Facility Total Surplus Electricity Energy [J](Hourly),ZONE OCCUPANTS:Zone Thermal Comfort Pierce Model Standard Effective Temperature [C](Hourly),ZONE 1:Zone Heat Index [C](Hourly),BARANGESCHEDULE:Schedule Value [](Hourly),PHIUS_LIGHTING:Schedule Value [](Hourly),PHIUS_MELS:Schedule Value [](Hourly),COMBINEDDHWSCHEDULE:Schedule Value [](Hourly),BACLOTHESDRYERSCHEDULE:Schedule Value [](Hourly),BACLOTHESWASHERSCHEDULE:Schedule Value [](Hourly),BADISHWASHERSCHEDULE:Schedule Value [](Hourly),OCCUPANT_ACTIVITY_SCHEDULE:Schedule Value [](Hourly),OCCUPANT_EFF_SCHEDULE:Schedule Value [](Hourly),OCCUPANT_CLOTHING_SCHEDULE:Schedule Value [](Hourly),CO2_SCHEDULE:Schedule Value [](Hourly),OCCUPANTSCHEDULE:Schedule Value [](Hourly),MECHAVAILABLE:Schedule Value [](Hourly),NATVENT:Schedule Value [](Hourly),SCHNATVENT:Schedule Value [](Hourly),OUTAGECOOLING:Schedule Value [](Hourly),DEMAND CONTROL COOLING:Schedule Value [](Hourly),SHADINGAVAILABLE:Schedule Value [](Hourly),SIZINGLOADS:Schedule Value [](Hourly),WEATHER MORPH:Schedule Value [](Hourly),WINDOWFRACTION2:Schedule Value [](Hourly),HVAC_ALWAYS_4:Schedule Value [](Hourly),PHIUS_68F:Schedule Value [](Hourly),DHW_122F:Schedule Value [](Hourly),PHIUS_77F:Schedule Value [](Hourly),HUMIDITY_SETPOINT:Schedule Value [](Hourly),AIRVELOCITYSCH:Schedule Value [](Hourly),ALWAYS_ON:Schedule Value [](Hourly),ALWAYS OFF:Schedule Value [](Hourly),ERVAVAILABLE:Schedule Value [](Hourly),COUNT:Schedule Value [](Hourly),PHIUSEXTLIGHT:Exterior Lights Electricity Energy [J](Hourly) 
 12/09  04:00:00,-5.6875,-7.0125,90.5,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-4.636160747955237,0.0,19.905626802438506,17.824085610772689,659.1282669473809,25848210.337012814,0.0,21.847439181318245,18.41715171807476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 12/09  05:00:00,-5.4125,-6.8875,89.5,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-4.747319971196226,0.0,19.906184315449545,17.655223284487378,656.8827457404573,25814514.947371998,0.0,21.83515802989285,18.41335579942278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 12/09  06:00:00,-5.0,-6.7,88.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-4.748922569086374,0.0,19.907982392151827,17.65083455007057,656.1233537939479,25388914.187251808,0.0,21.838539103795545,18.415219089063304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 12/09  07:00:00,-5.375,-7.0125,88.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-4.785701125668891,0.0,19.9067979066595,17.596866468566998,655.5040948162804,25651084.758218778,0.0,21.838297948274833,18.41250698844914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 12/09  08:00:00,-5.225,-6.8875,88.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-4.853377582119738,0.0,19.90695782159186,17.49529064249948,654.8147889006162,25547676.134404784,0.0,21.83624333869183,18.410030637194088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 12/09  09:00:00,-4.625,-6.7,86.125,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-4.811489314151104,0.0,19.908769880863614,17.556010082634253,654.8956829883764,24160945.849662357,0.0,21.896790250699107,18.413609354440984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0 
 12/09  10:00:00,-3.0250000000000005,-6.324999999999999,78.75,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-4.680012177178828,0.0,19.91213522074127,17.750502473927364,656.1877516902601,20134759.63919226,0.0,22.08896930909233,18.422389640745725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0 
 12/09  11:00:00,-1.2,-5.0375,75.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-4.36562982901474,0.0,19.916602864823568,18.227892713391254,659.3371511351451,16637063.309662939,0.0,22.26331786819298,18.43976923882225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0 
 12/09  12:00:00,0.4625000000000001,-4.0875,71.875,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-3.7413561213851858,0.0,19.9202367997986,19.21788491223,664.376864232665,12376006.082887833,0.0,22.38304263670675,18.469616363597809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0 
 12/09  13:00:00,2.4749999999999998,-3.5249999999999996,65.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-2.9099199874481869,0.0,19.926528816162919,20.606378674203599,673.3470824999274,9056037.445997319,0.0,22.536007541551613,18.51279269649453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0 
 12/09  14:00:00,5.7375,-3.3,52.625,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-2.1930799651697354,0.0,19.938105352930639,21.86718893360659,687.0120659612142,4527566.48777158,0.0,22.678632379536688,18.55844804371232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0 
 12/09  15:00:00,7.575,-3.3,46.375,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-1.6698410430119438,0.0,19.944278886509556,22.8343103355713,705.5359015914231,2860996.4589354617,0.0,22.80560472884187,18.59049154503376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0 
 12/09  16:00:00,9.549999999999999,-4.3625,37.875,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-1.3767726632527587,0.0,19.95238911495978,23.385649695337336,723.0188874298088,2461993.6281666776,0.0,22.797893673147965,18.61380887961179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0 
 12/09  17:00:00,11.287499999999998,-5.6875,30.5,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-1.6131787271647163,0.0,19.961621265468318,22.91864000589662,732.2658533731823,2751075.222808491,0.0,22.712700361092059,18.611770103280226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,2700.0 
 12/09  18:00:00,11.0125,-6.1,30.25,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-2.2842000640970987,0.0,19.96191893970475,21.66852035268086,711.0365775201804,3304881.9715951227,0.0,22.620104265793075,18.579455531773005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 12/09  19:00:00,10.225,-5.7875,32.25,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-2.6031213258301229,0.0,19.95899232754895,21.09903139997466,705.2969615951013,3561025.2945134977,0.0,22.555735922673525,18.561366269080965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 12/09  20:00:00,10.6875,-5.6,31.75,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-2.6343954033141645,0.0,19.961289206842176,21.040631221303046,710.3830789042896,3568853.447628177,0.0,22.522031617963344,18.562367942749309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 12/09  21:00:00,11.474999999999998,-5.225,31.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-2.5226501687074469,0.0,19.96479668549923,21.23454777507684,720.0619086674236,3367339.9421331409,0.0,22.517054597851833,18.57128954595394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 12/09  22:00:00,11.0125,-5.0,32.25,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-2.300826900089591,0.0,19.96292330646688,21.635530648821253,732.8423330855399,3442775.9292958609,0.0,22.519053265298014,18.57969893738835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 12/09  23:00:00,11.599999999999998,-5.375,30.5,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-2.2696868166189239,0.0,19.965469339186279,21.688550600843663,731.7850311644342,3490680.344820454,0.0,22.526130918732365,18.583883983238047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 12/09  24:00:00,12.575,-5.225,29.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-2.4360961699648357,0.0,19.969779722496527,21.38250487168659,714.1088569188742,3395960.2957001209,0.0,22.543067678683074,18.580634210840225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 12/10  01:00:00,13.1125,-5.375,27.75,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-2.507903098883557,0.0,19.971892099524575,21.251264805594599,699.3997187759285,3150945.130626869,0.0,22.564295888602766,18.57953100162311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 12/10  02:00:00,13.675,-5.225,27.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-2.662581213245163,0.0,19.97451213885683,20.97405818038192,683.3227797605621,3257140.6558011278,0.0,22.58477506736209,18.575174871896924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 12/10  03:00:00,13.525000000000003,-5.0,27.625,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-2.8322338562196296,0.0,19.973779542994064,20.677708461957239,652.8394329146813,3197079.5533881748,0.0,22.5977801246975,18.566630996022356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 12/10  04:00:00,12.6125,-4.625,29.875,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-2.6839912113273138,0.0,19.969443021064586,20.94299142090196,658.0788904056553,3103918.908334787,0.0,22.59724945058951,18.568787654716819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 12/10  05:00:00,11.8875,-3.7124999999999996,33.5,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-2.323770652770362,0.0,19.966433086787235,21.590250097985103,667.662176357793,3419855.645673093,0.0,22.584198312281367,18.58237737024668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 12/10  06:00:00,11.325,-2.3,38.75,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-1.725356802833114,0.0,19.964729888660274,22.702351565254206,654.6025322121691,4129076.7402944399,0.0,22.569740370057205,18.60954205728571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 12/10  07:00:00,10.0375,-2.3874999999999999,42.25,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-1.1614140623876246,0.0,19.959857863489306,23.79725578248681,632.3136040168133,4803194.790453766,0.0,22.546140749693163,18.632771995269836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 12/10  08:00:00,7.3375,-2.8,49.25,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-1.1482129889335693,0.0,19.949051386726607,23.83907938467007,625.3991395662428,5761949.26020768,0.0,22.487427661305675,18.621976931554543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,3600.0 
 12/10  09:00:00,5.7875,-3.1125,53.0,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-1.2418025674724192,0.0,19.942054880722574,23.664747821401237,628.8234768126024,5646896.532359802,0.0,22.509159855742185,18.609728784131425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0 
 12/10  10:00:00,5.225,-6.1125,44.875,0.0,147945.20547945205,0.0,0.0,0.0,0.0,0.0,0.0,-1.7522591359937927,0.0,19.937752276360276,22.69325652581278,639.2841197005076,5631803.660390804,0.0,22.63124351949399,18.579629202170307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0 
