Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),WHOLEHOUSE PHIUSMELS:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE FRIDGE:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE RANGE:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE CLOTHESDRYER:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE CLOTHESWASHER:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE DISHWASHER:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE SIZINGSENSIBLE:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE SIZINGLATENT:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE:Zone Mean Air Dewpoint Temperature [C](Hourly),WHOLEHOUSE:Zone Ventilation Mass Flow Rate [kg/s](Hourly),WHOLEHOUSE:Zone Air Temperature [C](Hourly),WHOLEHOUSE:Zone Air Relative Humidity [%](Hourly),WHOLEHOUSE:Zone Air CO2 Concentration [ppm](Hourly),Whole Building:Facility Total Purchased Electricity Energy [J](Hourly),Whole Building:Facility Total Surplus Electricity Energy [J](Hourly),WHOLEHOUSE OCCUPANTS:Zone Thermal Comfort Pierce Model Standard Effective Temperature [C](Hourly),WHOLEHOUSE:Zone Heat Index [C](Hourly),BARANGESCHEDULE:Schedule Value [](Hourly),PHIUS_LIGHTING:Schedule Value [](Hourly),PHIUS_MELS:Schedule Value [](Hourly),COMBINEDDHWSCHEDULE:Schedule Value [](Hourly),BACLOTHESDRYERSCHEDULE:Schedule Value [](Hourly),BACLOTHESWASHERSCHEDULE:Schedule Value [](Hourly),BADISHWASHERSCHEDULE:Schedule Value [](Hourly),OCCUPANT_ACTIVITY_SCHEDULE:Schedule Value [](Hourly),OCCUPANT_EFF_SCHEDULE:Schedule Value [](Hourly),OCCUPANT_CLOTHING_SCHEDULE:Schedule Value [](Hourly),CO2_SCHEDULE:Schedule Value [](Hourly),OCCUPANTSCHEDULE:Schedule Value [](Hourly),MECHAVAILABLE:Schedule Value [](Hourly),NATVENT:Schedule Value [](Hourly),SCHNATVENT:Schedule Value [](Hourly),OUTAGECOOLING:Schedule Value [](Hourly),DEMAND CONTROL COOLING:Schedule Value [](Hourly),SHADINGAVAILABLE:Schedule Value [](Hourly),SIZINGLOADS:Schedule Value [](Hourly),WEATHER MORPH:Schedule Value [](Hourly),HVAC_ALWAYS_4:Schedule Value [](Hourly),PHIUS_68F:Schedule Value [](Hourly),DHW_122F:Schedule Value [](Hourly),PHIUS_77F:Schedule Value [](Hourly),HUMIDITY_SETPOINT:Schedule Value [](Hourly),AIRVELOCITYSCH:Schedule Value [](Hourly),ALWAYS_ON:Schedule Value [](Hourly),ALWAYS OFF:Schedule Value [](Hourly),ERVAVAILABLE:Schedule Value [](Hourly),WHOLEHOUSE_WINDOWFRACTIONCONTROL:Schedule Value [](Hourly),COUNT:Schedule Value [](Hourly),PHIUSEXTLIGHT:Exterior Lights Electricity Energy [J](Hourly) 
 01/21  01:00:00,-26.8,-26.8,100.0,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,-7.668383996771933,0.0,19.886149996257005,13.73992445224921,1131.358722163121,24665575.93632005,0.0,21.688266520542933,18.289085245469214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,3600.0 
 01/21  02:00:00,-26.8,-26.8,100.0,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,-7.667862136979384,0.0,19.88670810680807,13.740074452406964,1131.3531630878247,25642925.563111977,0.0,21.63520617453886,18.289703083746173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,3600.0 
 01/21  03:00:00,-26.8,-26.8,100.0,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,-7.667349940442341,0.0,19.8869907207385,13.740447413154329,1131.3477855680667,26383262.47792387,0.0,21.593485583899846,18.29002369748916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,3600.0 
 01/21  04:00:00,-26.8,-26.8,100.0,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,-7.666862445731588,0.0,19.887210464264819,13.740844566643949,1131.3427078178566,26975042.300361754,0.0,21.560172691415926,18.290275785487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,3600.0 
 01/21  05:00:00,-26.8,-26.8,100.0,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,-7.666403535194401,0.0,19.88735577899431,13.74127058058352,1131.3379667470118,27455853.90736631,0.0,21.533182578115026,18.290446755386758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,3600.0 
 01/21  06:00:00,-26.8,-26.8,100.0,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,-7.66597825423467,0.0,19.887401011984893,13.74174167228357,1131.3336108058048,27856945.861178955,0.0,21.511255966619254,18.29050881240412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,3600.0 
 01/21  07:00:00,-26.8,-26.8,100.0,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,-7.665588109026161,0.0,19.887502567889717,13.742123123232386,1131.329642511137,28197015.152014287,0.0,21.491546188571907,18.29063048400753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,3600.0 
 01/21  08:00:00,-26.8,-26.8,100.0,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,-7.665225445755187,0.0,19.88762323581794,13.742454814231614,1131.3259771515132,28494161.345832349,0.0,21.473758713075524,18.290771879549113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,3600.0 
 01/21  09:00:00,-26.8,-26.8,100.0,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,-7.664887187442157,0.0,19.887716044089126,13.742781045137014,1131.3225815312576,28753348.63233833,0.0,21.458019489924685,18.290882486898839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,0.0 
 01/21  10:00:00,-26.8,-26.8,100.0,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,-7.664573360822873,0.0,19.887788659421049,13.743095441513278,1131.3194530748379,28988835.708929935,0.0,21.44386015517687,18.290970573002669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,0.0 
