Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Dewpoint Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),WHOLEHOUSE PHIUSMELS:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE FRIDGE:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE RANGE:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE CLOTHESDRYER:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE CLOTHESWASHER:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE DISHWASHER:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE SIZINGSENSIBLE:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE SIZINGLATENT:Electric Equipment Electricity Energy [J](Hourly),WHOLEHOUSE:Zone Mean Air Dewpoint Temperature [C](Hourly),WHOLEHOUSE:Zone Ventilation Mass Flow Rate [kg/s](Hourly),WHOLEHOUSE:Zone Air Temperature [C](Hourly),WHOLEHOUSE:Zone Air Relative Humidity [%](Hourly),WHOLEHOUSE:Zone Air CO2 Concentration [ppm](Hourly),Whole Building:Facility Total Purchased Electricity Energy [J](Hourly),Whole Building:Facility Total Surplus Electricity Energy [J](Hourly),WHOLEHOUSE OCCUPANTS:Zone Thermal Comfort Pierce Model Standard Effective Temperature [C](Hourly),WHOLEHOUSE:Zone Heat Index [C](Hourly),BARANGESCHEDULE:Schedule Value [](Hourly),PHIUS_LIGHTING:Schedule Value [](Hourly),PHIUS_MELS:Schedule Value [](Hourly),COMBINEDDHWSCHEDULE:Schedule Value [](Hourly),BACLOTHESDRYERSCHEDULE:Schedule Value [](Hourly),BACLOTHESWASHERSCHEDULE:Schedule Value [](Hourly),BADISHWASHERSCHEDULE:Schedule Value [](Hourly),OCCUPANT_ACTIVITY_SCHEDULE:Schedule Value [](Hourly),OCCUPANT_EFF_SCHEDULE:Schedule Value [](Hourly),OCCUPANT_CLOTHING_SCHEDULE:Schedule Value [](Hourly),CO2_SCHEDULE:Schedule Value [](Hourly),OCCUPANTSCHEDULE:Schedule Value [](Hourly),MECHAVAILABLE:Schedule Value [](Hourly),NATVENT:Schedule Value [](Hourly),SCHNATVENT:Schedule Value [](Hourly),OUTAGECOOLING:Schedule Value [](Hourly),DEMAND CONTROL COOLING:Schedule Value [](Hourly),SHADINGAVAILABLE:Schedule Value [](Hourly),SIZINGLOADS:Schedule Value [](Hourly),WEATHER MORPH:Schedule Value [](Hourly),HVAC_ALWAYS_4:Schedule Value [](Hourly),PHIUS_68F:Schedule Value [](Hourly),DHW_122F:Schedule Value [](Hourly),PHIUS_77F:Schedule Value [](Hourly),HUMIDITY_SETPOINT:Schedule Value [](Hourly),AIRVELOCITYSCH:Schedule Value [](Hourly),ALWAYS_ON:Schedule Value [](Hourly),ALWAYS OFF:Schedule Value [](Hourly),ERVAVAILABLE:Schedule Value [](Hourly),WHOLEHOUSE_WINDOWFRACTIONCONTROL:Schedule Value [](Hourly),COUNT:Schedule Value [](Hourly),PHIUSEXTLIGHT:Exterior Lights Electricity Energy [J](Hourly) 
 10/19  06:00:00,12.2,-2.2,37.0,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,11.907591677136552,0.0,20.744694967744726,56.926518961236819,2333.2456278648558,1393760.3269150684,0.0,24.371555819400656,20.361134681840377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,3600.0 
 10/19  07:00:00,11.5125,-2.2,38.875,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,11.833857596341259,0.0,20.5556889338265,57.3138457579267,2334.1487409315125,1392837.5080710424,0.0,24.18932449923914,20.163341577555017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,2700.0 
 10/19  08:00:00,12.85,-1.5125000000000002,37.5,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,11.77508195916016,0.0,20.65228009175612,56.754139267800869,2334.917982749881,1389726.2692731948,0.0,24.268394785059983,20.25497729292431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,0.0 
 10/19  09:00:00,15.649999999999999,-1.1,32.25,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,11.7515214462426,0.0,21.239371637237015,54.659932100430328,2335.0727791006459,1388872.3663322379,0.0,24.790816211831424,20.8460959169164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,0.0 
 10/19  10:00:00,18.074999999999997,-0.4125,28.75,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,11.773041401445987,0.0,21.90829934559511,52.54039924924096,2334.2514231552806,1388496.6014415862,0.0,25.397710233425668,21.526573038329248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,0.0 
 10/19  11:00:00,19.9625,0.0,26.125,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,11.848243677854084,0.0,22.481702537328457,50.98840512908629,2333.4265209219545,1388641.2025788059,0.0,25.896369021731098,22.116792258320776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,0.0 
 10/19  12:00:00,20.6,-0.6875,23.75,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,11.950159033982562,0.0,22.809398237850073,50.32044526447346,2332.305267944879,1389363.884712295,0.0,26.186273748402745,22.45981635465189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,0.0 
 10/19  13:00:00,20.9125,-0.7875000000000001,23.625,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,12.038874890113732,0.0,23.045164008223808,49.89807512015317,2330.197846271194,1389392.118791833,0.0,26.40073316559725,22.708130148294637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,0.0 
 10/19  14:00:00,21.1,-0.225,24.625,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,12.163897984175378,0.0,23.258007287044884,49.667421739120658,2328.2131455451246,1389364.7950619688,0.0,26.597200391924625,22.936235138937528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,0.0 
 10/19  15:00:00,21.474999999999999,-0.375,23.75,0.0,1331506.8493150683,0.0,0.0,0.0,0.0,0.0,0.0,12.313528054095907,0.0,23.495809518724124,49.44423477514265,2326.5465103374406,1389364.0888656669,0.0,26.814254500991905,23.191989934169706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,1.0,500.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0,2.0,25.0,60.0,0.16,1.0,0.0,1.0,0.0,0.0,0.0 
