,pv_dirEn,pv_opCO2,pv_dirMR,pv_emCO2,pv_eTrans
0,2130.800793666811,2991.8350073475635,49804.71568627452,5161.289898375003,369.125
1,2089.0203859478543,2783.1023324163384,0.0,0.0,361.8872549019608
2,2048.0592019096607,2433.134143512906,0.0,0.0,354.7914263744713
3,2007.9011783428048,2263.3805986166567,0.0,0.0,347.8347317396778
4,1968.5305670027496,1983.6459464392071,0.0,0.0,341.01444288203703
5,1929.9319284340684,1845.2520431992625,0.0,0.0,334.3278851784677
6,1892.0901259157533,1642.7825298466598,0.0,0.0,327.7724364494781
7,1854.9903195252482,1528.1697952061952,0.0,0.0,321.3455259308609
8,1818.6179603188707,1419.1357536355608,0.0,0.0,315.04463326554986
9,1782.9587846263437,1320.1262824516843,0.0,0.0,308.867287515245
10,1747.9988084571999,1228.0244487922646,3131.993297358651,85.42989,302.8110661914166
11,1713.7243220168625,1142.3483244579206,756.1649553828083,29.453287500000002,296.87359430531046
12,1680.1218843302572,1062.6496041469031,0.0,0.0,291.05254343657884
13,1647.1783179708405,994.4309251032414,2267.5620735681614,85.24035,285.34563082017536
14,1614.8807038929808,925.0520233518524,491.87575125239954,24.6884625,279.75061845115226
15,1583.2163763656674,860.5135100947465,0.0,0.0,274.265312207012
16,1552.1729180055563,800.4776838090665,0.0,0.0,268.8875609872667
17,1521.738154907408,744.6304035433177,427.79737810399564,22.78648125,263.6152558698693
18,1491.900151870008,690.0221735671211,0.0,0.0,258.4463292841856
19,1462.6472077156939,641.8810916903451,0.0,0.0,253.37875420018193
20,1433.9678507016608,597.0986899445071,13125.738445070238,1774.6173900000003,248.41054333351173
21,1405.850834021236,555.4406418088439,0.0,0.0,243.53974836618795
22,1378.2851313933686,516.6889691245059,608.1555250720189,29.453287500000002,238.76445918253717
23,1351.2599327385965,481.9997043472521,0.0,0.0,234.08280312013449
24,1324.7646399398006,448.3718179974438,0.0,0.0,229.49294423542597
25,1298.788862686079,417.09006325343614,2.98789642415823,0.16453125000000002,224.99308258375095
26,1273.3224143981167,387.99075651482434,1752.8992355061614,85.24035,220.5814535134813
27,1248.3553082334477,360.92163396727847,0.0,0.0,216.25632697400127
28,1223.8777531700466,335.7410548532823,372.78034707479554,24.6884625,212.01600683725616
29,1199.8801501667124,312.31726032863475,0.0,0.0,207.85883023260408
30,1176.3530883987376,290.52768402663696,4483.632899930961,190.899554625,0.0
31,1153.2873415673898,270.258310722453,0.0,0.0,0.0
32,1130.6738642817547,251.40307974181675,0.0,0.0,0.0
33,1108.5037885115241,233.8633299923877,489.1170108357971,29.453287500000002,0.0
34,1086.7684201093375,217.54728371384903,305.5168717625304,22.78648125,0.0
35,1065.4592354013112,202.36956624544098,0.0,0.0,0.0
36,1044.5678778444226,188.25075929808463,0.0,0.0,0.0
37,1024.0861547494342,175.1169853935671,0.0,0.0,0.0
38,1004.0060340680726,162.8995212963415,0.0,0.0,0.0
39,984.3196412432085,151.53443841520138,1355.0481222342264,85.24035,0.0
40,965.0192561207924,140.9622682932106,8833.245699406598,1774.6173900000003,0.0
41,946.0973099223456,131.12769143554473,0.0,0.0,0.0
42,927.5463822768094,121.97924784701839,282.5209147053417,24.6884625,0.0
43,909.3591983105974,113.46906776466827,0.0,0.0,0.0
44,891.5286257947033,105.5526211764356,393.37873360702343,29.453287500000002,0.0
45,874.0476723477484,98.18848481528894,0.0,0.0,0.0
46,856.9094826938709,91.3381254095711,0.0,0.0,0.0
47,840.1073359743832,84.96569805541499,0.0,0.0,0.0
48,823.6346431121403,79.03785865619999,0.0,0.0,0.0
49,807.4849442275886,73.5235894476279,0.0,0.0,0.0
