,AZNMc,CAMXc,ERCTc,FRCCc,MROEc,MROWc,NEWEc,NWPPc,NYSTc,RFCEc,RFCMc,RFCWc,RMPAc,SPNOc,SPSOc,SRMVc,SRMWc,SRSOc,SRTVc,SRVCc
126,170.73386999999997,115.77905,27.503909999999998,312.82338,315.59008,165.24335000000002,263.37464,168.26865,127.06998000000002,440.61303999999996,443.47443999999996,479.57448999999997,282.9532,124.28415000000001,152.77587,507.13584000000003,219.83559000000002,429.17518,524.4343299999999,376.86895
127,153.16493,54.53048,18.62515,208.67025,268.87528,165.59996999999998,259.49188,111.58926,122.53358,407.92704999999995,443.68429,472.72519,259.42229,120.97407,114.69139999999999,398.13903,202.925,395.13746,445.87641999999994,273.50041999999996
128,104.06273,22.54631,13.951080000000001,89.45512,153.14937,124.37289000000001,245.45206000000002,81.86981,89.74527,298.81550000000004,427.02536,386.41616,196.02214999999998,113.83279999999999,90.52846000000001,330.37642,202.07989,271.17717,406.32971,113.59786
129,90.41488,20.70791,13.504309999999998,84.90018,143.39297,113.97865999999999,235.84243,77.61851,79.41826,272.84214,415.29132,347.85925999999995,145.52706999999998,108.92007999999998,88.39991,307.10445000000004,203.79925000000003,242.52576,403.04645,105.11223000000001
130,91.93358,20.93771,14.926240000000002,87.86465,134.67961,105.56778,236.63182999999998,76.33855,79.30634,272.62062,416.48046999999997,345.13055,151.98465,110.73943999999999,89.27739000000001,309.29649,202.93601,242.35399,398.15277000000003,104.50172
131,90.12407,22.207569999999997,14.73518,86.42989000000001,136.75352,102.18982,240.06989000000002,77.99624,79.77189999999999,270.42742,414.6198,344.53403,153.17587000000003,107.98573,89.44825,309.38341,197.28273000000002,244.05067,396.48017999999996,108.41543999999999
132,92.76793,21.40327,15.503470000000002,91.06397,126.55954,97.27593999999999,238.70301,75.39253,78.99144,269.53827,417.27259999999995,344.39230999999995,162.98782,107.03764,90.39129,310.32165,185.89298,238.3036,398.6305,110.40151999999999
133,91.37903,19.59194,15.237910000000001,93.34383999999999,122.06834,93.91287999999999,231.73012,76.45163,78.24699,276.64692,418.94933,343.30729999999994,155.54084,106.36843999999999,95.58588,318.01722,181.54375,241.22494,391.40281000000004,116.1548
134,85.87550000000002,22.755249999999997,16.66166,93.14707000000001,133.16066,98.25730999999999,233.80428,88.33037,82.39945,274.4269,417.46158999999994,342.14936,157.86019999999996,103.42599,92.48656,312.33737,185.19812,246.80413,406.44759,120.86338
135,93.12339,43.405379999999994,14.41755,89.19461,210.31022,110.20574999999998,259.46182999999996,108.49358000000001,98.54604999999998,302.31987,419.0990799999999,358.55414999999994,206.27607,101.14677999999998,83.63744000000001,378.36017000000004,202.93999000000002,249.75485999999998,489.68958,144.28535
136,125.73570000000001,95.33785999999999,24.7487,144.27832,305.00297,148.80644,276.78873,166.59126,135.87583,405.94611,435.21745,454.27538,224.11884999999998,113.81492,97.07958,483.74094,222.95759,315.33064,534.9482599999999,322.29922999999997
137,151.68456,90.23044,48.030699999999996,263.34966000000003,318.33576,152.1546,279.93673,167.3194,147.34972,444.47850999999997,436.9347399999999,484.61014,246.39430000000002,115.76043999999999,122.52736999999999,463.79602,206.68301,424.61933,536.5277199999999,343.06567
