Date/Time,InteriorLights:Electricity [kWh](Monthly),InteriorEquipment:Electricity [kWh](Monthly),Fans:Electricity [kWh](Monthly),Heating:Electricity [kWh](Monthly),Cooling:Electricity [kWh](Monthly),ElectricityNet:Facility [kWh](Monthly),NaturalGas:Facility [therm](Monthly) 
January,0.0000000000000000,1.2191790575342472,2.1480198377748221,0.0000000000000000,0.0000000000000000,3.6216990989090685,3.5168676367691458 
January,0.0000000000000000,1.2191790575342472,1.9271337963336008,0.0000000000000000,0.0000000000000000,3.4008130574678455,3.1205129171972397 
July,0.0000000000000000,19.709474472248356,0.18809118750488457,0.0000000000000000,0.0000000000000000,5.4805295618276944,0.0000000000000000 
July,0.0000000000000000,19.709474472248356,0.18809118750488457,0.0000000000000000,0.0000000000000000,5.3731974872176611,0.0000000000000000 
January,0.0000000000000000,1.2191790575342472,2.1498070121572961,0.0000000000000000,0.0000000000000000,3.6234862732915416,3.5200745166451646 
January,0.0000000000000000,1.2191790575342472,1.9271321054061448,0.0000000000000000,0.0000000000000000,3.4008113665403910,3.1205098830214584 
July,0.0000000000000000,19.709474472248356,0.18809118750488457,0.0000000000000000,0.0000000000000000,5.4805295618276944,0.0000000000000000 
July,0.0000000000000000,19.709474472248356,0.18809118750488457,0.0000000000000000,0.0000000000000000,5.3731974872176611,0.0000000000000000 
January,0.0000000000000000,37.794550783563814,33.577645421933262,0.0000000000000000,0.0000000000000000,-175.84615891365928,49.788490196744952 
February,0.0000000000000000,34.137013610960587,36.525266188800728,0.0000000000000000,0.0000000000000000,-187.25991446573656,56.090182612465476 
March,0.0000000000000000,37.794550783563814,22.029584078574150,0.0000000000000000,0.0000000000000000,-228.32401782321043,29.066815864219151 
April,0.0000000000000000,36.575371726029410,8.7544565375727945,0.0000000000000000,0.0000000000000000,-242.53684999233766,5.5836270213529033 
May,0.0000000000000000,37.794550783563814,7.3638385725935116,0.0000000000000000,10.932190797940599,-288.90716947397607,0.21660942396399657 
June,0.0000000000000000,36.575371726029410,35.364502686781208,0.0000000000000000,234.88523694796342,-19.317686238702901,0.0000000000000000 
July,0.0000000000000000,37.794550783563814,43.870213585430697,0.0000000000000000,296.13471851304251,17.773902012217750,0.0000000000000000 
August,0.0000000000000000,37.794550783563814,52.013444564927170,0.0000000000000000,361.54583679114006,89.335600775609890,0.0000000000000000 
September,0.0000000000000000,36.575371726029410,38.578128829157357,0.0000000000000000,256.08869860636912,-29.589163859287613,0.0000000000000000 
October,0.0000000000000000,37.794550783563814,14.789906046439954,0.0000000000000000,65.595390863044742,-180.60331644509600,1.0191258931965812 
November,0.0000000000000000,36.575371726029410,9.6691749788727410,0.0000000000000000,0.0000000000000000,-281.87679902731503,7.2249845689962564 
December,0.0000000000000000,37.794550783563814,31.660420858505827,0.0000000000000000,0.0000000000000000,-209.88360568542595,46.348250156065198 
