Time,ZONE 1:CHICAGO MIDWAY AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],ZONE 1:CHICAGO MIDWAY AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],ZONE 1:CHICAGO MIDWAY AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],ZONE 1:CHICAGO MIDWAY AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
19:45:00,3.587975E+03,1.372903E+03,1.172863E-01,1.103706E-01
20:00:00,3.595178E+03,1.320013E+03,1.175218E-01,1.061184E-01
20:15:00,3.602184E+03,1.274294E+03,1.177508E-01,1.024428E-01
20:30:00,3.609120E+03,1.232560E+03,1.179776E-01,9.908758E-02
20:45:00,3.615998E+03,1.191945E+03,1.182024E-01,9.582236E-02
21:00:00,3.622705E+03,1.152300E+03,1.184216E-01,9.263521E-02
21:15:00,3.629243E+03,1.113568E+03,1.186354E-01,8.952143E-02
21:30:00,3.635746E+03,1.075898E+03,1.188479E-01,8.649311E-02
21:45:00,3.642207E+03,1.039502E+03,1.190591E-01,8.356717E-02
22:00:00,3.648635E+03,1.004456E+03,1.192693E-01,8.074976E-02
22:15:00,3.654902E+03,9.709985E+02,1.194741E-01,7.806005E-02
22:30:00,3.661117E+03,9.392351E+02,1.196773E-01,7.550656E-02
22:45:00,3.667289E+03,9.093081E+02,1.198790E-01,7.310072E-02
23:00:00,3.673427E+03,8.812312E+02,1.200797E-01,7.084362E-02
23:15:00,3.679414E+03,8.548088E+02,1.202754E-01,6.871955E-02
23:30:00,3.685349E+03,8.300045E+02,1.204694E-01,6.672556E-02
23:45:00,3.691124E+03,8.066961E+02,1.206582E-01,6.485182E-02
24:00:00,3.696869E+03,7.848970E+02,1.208460E-01,6.309944E-02
Peak,3.696869E+03,1.600060E+03,1.208460E-01,1.286350E-01

Peak Vol Flow (m3/s),,,1.025869E-01,1.091990E-01
