,Unnamed: 0,AZNMc,CAMXc,ERCTc,FRCCc,MROEc,MROWc,NEWEc,NWPPc,NYSTc,RFCEc,RFCMc,RFCWc,RMPAc,SPNOc,SPSOc,SRMVc,SRMWc,SRSOc,SRTVc,SRVCc
0,0,293.15419,0,55.08917,529.17578,293.83731,220.08227,228.00407,108.82934,0,465.76124,566.3385,388.89537000000007,261.96274,221.54394,230.09852,332.5793099999999,147.95412,649.4011200000001,602.6293599999999,181.36495
1,1,287.56838,0,48.58714,540.7595699999999,303.62103,215.89612,218.50793,110.3141,0,459.76715,573.3411900000001,384.7271,260.32955,215.08338000000003,234.09916,336.73525000000006,151.98845,647.7220700000001,608.87088,182.16925
2,2,289.06506,0,50.32736,543.0846399999999,299.41195,224.09599,216.57549,109.6247,0,460.81019,580.39554,386.5292400000001,248.55702,209.31313,220.56571,326.69854999999995,154.61716,641.91126,618.21793,181.67869
3,3,290.01406000000003,0,52.45632,532.1397499999999,292.75578,217.96912,222.08912,109.51576,0,456.29242,580.09074,386.3905,254.71849,212.11568000000003,222.69169,326.92445999999995,151.07107,646.5866500000001,622.1039200000001,182.06031
4,4,294.63506000000007,0,52.207730000000005,524.95726,309.95163,214.20929,220.92381,109.42495,0,459.22295,583.10339,390.1125,247.46464,205.40239000000005,222.92745,325.49268,154.39696,646.9476599999999,617.31206,187.05217
5,5,293.89176999999995,0,45.53848000000001,509.87804000000006,300.32105,210.53224,229.05605,108.07297,0,467.48151000000007,569.61853,403.24231,227.91765,198.31758,227.36203,319.92839,144.38989999999998,630.2706000000001,613.2602599999999,188.7837
6,6,289.97896,0,46.941370000000006,495.147,317.88726,212.59175,236.77935,106.83589000000002,0,483.78655,573.7734700000001,410.08332999999993,232.86365,208.78863,225.04292,320.81895,139.93289,613.54818,605.24963,184.88993
7,7,266.68224,0,30.15678,374.93676,288.8611,218.44544,182.12917,98.43652,0,458.63123,578.10946,414.47751000000005,215.25365,205.90835,198.62734,237.6551,145.98592000000002,541.4033099999999,430.48357,161.82574
8,8,175.03103000000002,0,15.977060000000002,192.69476,240.9771,189.27665,111.90068,86.72268000000001,0,361.53013,409.93169,349.45669000000004,174.71803999999997,211.24491,174.40364,201.26110000000003,133.70031,289.32013,355.63788,89.76638
9,9,159.18492999999998,0,14.63402,174.22293,235.72357,178.74161,98.93238,84.00407000000001,0,336.36148000000003,286.63628,322.4090800000001,163.51354999999998,187.6135,164.75866000000002,197.00591,135.42380999999995,245.03222,356.0647,83.13611999999999
10,10,156.19934999999998,0,13.557040000000002,180.61743,242.41898,168.01808,97.67146,84.54877,0,335.96405,272.67303000000004,322.59277,156.3198,189.03427,160.43145,193.57886,129.88957,241.83704,361.14853,87.50232
11,11,158.57028,0,15.711,180.09566,241.96418,171.502,96.11054,84.66342,0,337.59260000000006,276.07947,329.02444,151.56900000000002,180.66536,159.42144,193.16719,129.47906,248.59826,347.90614,89.57168000000001
12,12,159.2269,0,14.22351,174.88799,250.31198,170.55275000000003,95.63902,83.22982,0,333.19039,265.22589,325.98795,152.75583,178.90055,158.50199,188.48816,129.67077999999998,258.13496,347.69786,88.74833999999998
13,13,164.17770000000002,0,14.25331,184.55888,237.55303,172.06615,95.10947,82.38355000000001,0,336.96189,286.14572000000004,323.04434,151.69971,176.60370999999998,159.24073,189.78807,126.7453,237.96231,352.84840999999994,89.18111999999999
14,14,165.69044000000002,0,15.13079,205.80669,232.50455,172.15125,102.51488999999998,85.14529,0,330.24769,273.0448,314.82336000000004,156.00631,178.56023999999996,162.77232999999998,190.38045,120.72944,257.22793,364.56457,87.78601
15,15,168.24622000000002,0,15.619280000000003,180.44748,298.42876,176.9076,182.68695,94.20451,0,377.46804,307.74692,325.72214,168.60954999999998,183.91766,159.89387,202.35323,153.24225,262.64131,474.0132,101.71416
16,16,210.59523,0,43.04785,376.79859,348.97168,203.03783000000004,249.72647,110.30011000000002,0,512.6797700000001,498.0364,409.72878,195.7209,198.68587,191.33591,307.98086,164.06279999999998,401.84781,594.5076300000001,177.28865000000002
17,17,283.25243,0,73.50645,494.53922,359.12576,206.80362,258.77054,111.8179,0,541.53193,597.98418,442.15467,202.85778,214.01898,233.22830000000005,337.44824,169.628,595.1767600000001,611.51581,188.11839
18,18,281.96651,0,68.70151,493.34825,342.83819,213.34878,256.76649000000003,106.67422,0,536.18254,598.06721,438.95742,193.97447000000005,202.01499,227.6035,332.66234,153.98968,596.63147,608.21219,188.21359
19,19,282.03232,0,52.32263,500.60715,339.4921,221.43168000000003,247.7509,107.31867,0,516.34738,573.1320000000001,424.0781999999999,206.01331,197.85177,218.98898,337.65809,149.83101,611.9762499999999,616.1304399999999,185.17064
20,20,288.74743,0,46.12904,493.7927,330.11293,219.46257,251.17406,106.56528,0,515.78985,570.22854,419.83791,227.85118,205.51108,218.72317,337.03268,160.17251,612.76565,615.15412,185.34357
21,21,289.34784,0,47.42183,507.08211,326.48704000000004,217.2423,252.45145,104.67208,0,515.59258,564.97915,417.33511,217.27483,205.56845,228.89083,339.25088,155.83106,628.2125,618.3385400000001,185.36352
22,22,286.25861999999995,0,43.22442,515.37213,317.32716,214.26202,253.4257,105.05254,0,499.63456,581.7394899999999,406.90537,231.71349,205.59022,229.9866,340.95922999999993,152.74664,639.73346,620.1739600000001,188.10531
23,23,291.53392,0,54.21906,525.95924,309.06537000000003,213.92146,243.27758,106.50129,0,481.38152,557.29368,393.92713,242.47949,215.40126,226.32404,340.08846,147.81306,649.95128,607.25243,184.38033
