,Unnamed: 0,pv_dirEn,pv_opCO2,pv_dirMR,pv_emCO2,pv_eTrans
0,0,2487.8896545216794,2813.374821009062,38007.95098039217,3936.696177374999,160.50459558823528
1,1,2439.107504433019,2617.092856752616,0.0,0.0,157.35744665513263
2,2,2391.2818670911947,2322.9615871553265,0.0,0.0,154.2720065246398
3,3,2344.393987344309,2160.894499679373,0.0,0.0,151.24706522023513
4,4,2298.425477788538,1951.234702467949,0.0,0.0,148.2814364904266
5,5,2253.35831155739,1815.102048807395,0.0,0.0,145.37395734355547
6,6,2209.1748152523437,1704.0066613165786,0.0,0.0,142.52348759172108
7,7,2165.857662012101,1585.122475643329,0.0,0.0,139.7289094036481
8,8,2123.389864717746,1496.200145050899,0.0,0.0,136.98912686632167
9,9,2081.7547693311235,1391.8140884194408,0.0,0.0,134.3030655552173
10,10,2031.330052980138,1294.0099260566606,30620.473451117476,3880.977121125,126.43090374206425
11,11,1991.500051941312,1203.7301637736375,0.0,0.0,123.95186641378848
12,12,1952.4510313150115,1119.7489895568724,0.0,0.0,121.52143766057692
13,13,1914.1676777598152,1052.1718378234311,0.0,0.0,119.13866437311464
14,14,1876.6349781958968,978.764500300866,0.0,0.0,116.80261213050454
15,15,1839.8382139175465,910.4786049310384,0.0,0.0,114.512364833828
16,16,1803.762954821124,846.9568417963147,0.0,0.0,112.26702434689015
17,17,1768.3950537461997,787.8668295779672,0.0,0.0,110.06571014400996
18,18,1733.7206409276466,734.2414186595915,0.0,0.0,107.90755896471566
19,19,1699.7261185565162,683.0152731717129,0.0,0.0,105.79172447521142
20,20,841.1675357641078,125.11755482121406,30184.657846490507,4646.937481875,81.07139674553308
21,21,824.6740546706939,116.38842308950146,0.0,0.0,79.4817615152285
22,22,808.5039751673469,108.26830054837345,0.0,0.0,77.9232956031652
23,23,792.6509560464185,101.63383622781922,0.0,0.0,76.39538784624038
24,24,777.1087804376651,94.54310346773882,0.0,0.0,74.89743906494155
25,25,761.87135337026,87.94707299324541,0.0,0.0,73.42886182837408
26,26,746.9326993826078,81.81123069139109,0.0,0.0,71.98908022389615
27,27,732.2869601790272,76.10347041059636,0.0,0.0,70.57752963127072
28,28,717.9283923323796,70.79392596334546,0.0,0.0,69.19365650124581
29,29,703.8513650317446,65.8548148496237,0.0,0.0,67.83691813847628
30,30,690.0503578742595,61.26029288337087,1581.9591323719364,64.119144375,0.0
31,31,676.5199587002545,56.98631896127523,466.42667379213987,26.9962875,0.0
32,32,663.2548614708377,53.01052926630254,0.0,0.0,0.0
33,33,650.2498641870958,49.3121202477233,897.6495715026099,37.11825,0.0
34,34,637.4998668500938,45.871739765324,295.01629188198524,22.003312500000003,0.0
35,35,624.9998694608763,42.67138582820837,0.0,0.0,0.0
36,36,612.7449700596826,39.69431239833337,0.0,0.0,0.0
37,37,600.7303628036104,36.92494176589151,459.4075082597515,36.36140625,0.0
38,38,588.951336081971,34.34878303803862,0.0,0.0,0.0
39,39,577.403270668599,31.952356314454526,0.0,0.0,0.0
40,40,566.0816379103911,29.72312215298096,4627.834066957677,261.556644375,0.0
41,41,554.981997951364,27.649415956261358,174.1216513591834,12.285000000000002,0.0
42,42,544.0999979915332,25.72038693605708,375.12973417824065,26.9962875,0.0
43,43,533.4313705799345,23.925941335867048,0.0,0.0,0.0
44,44,522.9719319411122,22.256689614760045,0.0,0.0,0.0
45,45,512.7175803344238,20.70389731605586,2.010768639754562,0.16453125,0.0
46,46,502.6642944455135,19.25943936377289,693.9123148956919,37.11825,0.0
47,47,492.8081318093269,17.915757547695716,0.0,0.0,0.0
48,48,483.145227264046,16.665820974600667,223.5854794640054,22.003312500000003,0.0
49,49,473.6717914353392,15.503089278698292,0.0,0.0,0.0
50,50,464.3841092503325,14.421478398789112,2878.4596183714543,183.1210875,0.0
51,51,455.27853848071817,13.41532874305964,0.0,0.0,0.0
52,52,446.3515083144296,12.4793755749392,0.0,0.0,0.0
53,53,437.5995179553231,11.60872146505972,301.70298006444966,26.9962875,0.0
54,54,429.0191352503168,10.798810665171834,328.0916433144152,36.36140625,0.0
55,55,420.6069953434478,10.045405269927288,0.0,0.0,0.0
56,56,412.3597993563214,9.344563041792826,0.0,0.0,0.0
57,57,404.2743130944327,8.692616783063094,0.0,0.0,0.0
58,58,396.3473657788556,8.086155147035438,0.0,0.0,0.0
59,59,388.5758488027996,7.522004787939941,536.416788967963,37.11825,0.0
60,60,380.9567145125486,6.997213756223202,3114.3996614433904,261.556644375,0.0
61,61,373.48697501230254,6.509036052300654,0.0,0.0,0.0
62,62,366.1637009924535,6.054917257954096,284.3311054896676,34.2883125,0.0
63,63,358.9840205808367,5.632481170189857,0.0,0.0,0.0
64,64,351.9451182165066,5.239517367618472,242.64855565013633,26.9962875,0.0
65,65,345.0442335455947,4.8739696442962535,0.0,0.0,0.0
66,66,338.2786603388183,4.533925250508143,0.0,0.0,0.0
67,67,331.64574543021405,4.217604884193621,0.0,0.0,0.0
68,68,325.14288767668046,3.923353380645229,0.0,0.0,0.0
69,69,318.767536937922,3.649631051763004,0.0,0.0,0.0
